Resident County,Total Deaths,Diseases of heart,Malignant neoplasms,Cerebro vascular diseases (stroke),Chronic lower respiratory diseases,Accidents,Alzheimer's disease,"Nephritis, nephrotic syndrome and nephrosis",Diabetes mellitus,Influenza and pneumonia,Septicemia,Intentional self-harm (suicide),Chronic liver disease and cirrhosis,All other causes
ILLINOIS,"101,291","24,607","23,852","5,324","5,369","3,510","2,896","2,361","2,658","2,394","1,828","1,041","1,121","24,330"
Adams,815,199,167,43,52,26,28,16,21,32,16,8,2,205
Alexander,105,29,19,5,7,1,3,3,4,2,3,1,0,28
Bond,177,35,42,6,12,7,9,5,4,8,3,3,2,41
Boone,364,83,82,25,30,10,13,3,11,6,4,2,3,92
Brown,46,11,12,3,3,3,1,0,1,0,1,0,2,9
Bureau,376,94,85,21,31,13,11,10,7,12,4,3,5,80
Calhoun,53,20,8,2,4,1,0,0,1,2,1,0,0,14
Carroll,181,41,52,5,10,4,3,2,8,3,4,5,1,43
Cass,142,34,37,14,15,6,0,4,0,4,2,0,0,26
Champaign,"1,209",260,273,54,63,48,62,26,25,28,20,8,12,330
Christian,404,83,98,24,26,14,18,11,9,14,10,5,3,89
Clark,198,39,45,18,12,7,5,2,4,5,7,5,2,47
Clay,176,33,45,14,16,11,1,4,1,9,2,2,1,37
Clinton,319,97,72,18,9,13,8,6,3,3,9,4,4,73
Coles,457,135,83,27,30,18,11,13,14,13,2,2,3,106
Cook,"38,871","10,114","9,221","1,981","1,655","1,148",858,949,"1,092",967,805,336,451,"9,294"
Chicago,"18,743","5,008","4,333",889,718,639,370,455,566,472,415,160,239,"4,479"
Suburban Cook,"20,128","5,106","4,888","1,092",937,509,488,494,526,495,390,176,212,"4,815"
Crawford,214,49,43,20,12,11,8,6,5,9,3,1,1,46
Cumberland,130,26,39,6,4,8,2,1,3,2,1,3,1,34
DeKalb,667,143,157,32,40,29,30,17,14,14,8,5,10,168
DeWitt,157,40,42,8,9,7,9,2,5,3,2,0,2,28
Douglas,188,54,40,13,14,8,8,3,1,6,4,2,2,33
DuPage,"5,976","1,304","1,469",299,292,160,216,122,122,152,103,73,60,"1,604"
Edgar,192,57,41,12,15,9,7,3,5,3,5,1,1,33
Edwards,67,22,21,1,4,3,0,2,0,1,1,0,1,11
Effingham,341,69,84,21,21,23,11,5,13,4,9,0,1,80
Fayette,210,41,45,12,20,11,13,6,8,7,1,4,1,41
Ford,199,41,27,10,10,5,17,5,3,7,0,2,1,71
Franklin,544,87,126,27,41,18,48,17,28,13,16,11,6,106
Fulton,462,82,102,30,42,18,12,12,6,14,8,7,1,128
Gallatin,83,16,18,5,5,7,5,1,0,5,1,2,2,16
Greene,146,39,28,11,9,5,2,4,6,2,4,1,0,35
Grundy,412,107,97,17,28,22,12,6,13,9,6,10,8,77
Hamilton,114,39,31,3,5,2,2,8,3,2,1,1,1,16
Hancock,191,46,39,14,17,9,15,3,1,6,3,3,0,35
Hardin,54,15,11,3,5,3,0,3,0,2,0,0,0,12
Henderson,79,17,16,7,7,1,6,3,5,4,2,0,1,10
Henry,515,109,117,26,38,20,9,11,14,15,7,8,5,136
Iroquois,387,97,84,29,27,14,31,8,16,6,10,2,3,60
Jackson,481,109,94,34,23,25,25,13,9,13,9,10,6,111
Jasper,97,29,17,5,3,2,1,1,2,4,3,2,1,27
Jefferson,435,95,101,14,23,24,22,18,9,20,7,7,3,92
Jersey,262,73,51,12,11,11,25,4,17,2,2,3,2,49
Jo Daviess,236,46,60,17,15,14,17,5,2,8,0,5,1,46
Johnson,123,21,23,1,5,2,1,4,0,3,2,2,1,58
Kane,"2,867",529,716,145,163,109,66,75,85,65,40,36,47,791
Kankakee,"1,037",271,232,46,58,48,46,27,23,23,25,12,9,217
Kendall,484,104,129,22,24,18,6,16,11,7,6,10,8,123
Knox,647,153,114,34,50,15,31,9,23,32,8,5,4,169
Lake,"4,041",880,"1,007",218,206,120,104,81,138,90,64,55,45,"1,033"
LaSalle,"1,318",361,299,66,85,61,40,17,36,30,15,19,15,274
Lawrence,221,37,40,13,15,11,16,6,12,8,5,0,1,57
Lee,363,82,83,20,24,16,10,9,4,7,3,5,4,96
Livingston,419,120,89,27,24,14,13,12,10,6,10,1,5,88
Logan,282,62,59,17,17,8,18,4,2,9,11,5,1,67
McDonough,294,78,66,16,17,15,3,2,7,8,3,0,3,76
McHenry,"1,892",389,487,86,142,80,58,46,41,33,22,22,29,457
McLean,"1,064",238,244,54,56,22,71,18,29,21,18,14,16,263
Macon,"1,180",321,267,80,55,35,13,26,24,26,20,4,10,299
Macoupin,547,154,117,30,32,19,16,14,16,15,8,4,4,118
Madison,"2,666",646,585,146,153,146,88,61,67,58,43,18,31,624
Marion,544,137,134,23,37,12,23,20,15,14,7,11,5,106
Marshall,157,43,23,17,9,4,11,4,3,2,2,1,3,35
Mason,200,45,43,6,18,5,8,3,4,5,8,2,4,49
Massac,215,53,32,13,25,12,4,2,6,6,2,5,0,55
Menard,107,17,22,4,12,5,7,1,3,2,2,0,1,31
Mercer,163,58,38,6,5,5,5,5,4,4,1,0,3,29
Monroe,281,65,75,21,10,16,6,3,5,4,4,2,1,69
Montgomery,332,64,88,21,14,13,24,5,11,12,4,3,3,70
Morgan,408,114,102,24,22,20,10,8,6,11,3,5,7,76
Moultrie,193,50,40,8,10,8,2,3,6,9,1,1,0,55
Ogle,451,108,120,22,30,13,24,13,7,1,4,9,2,98
Peoria,"1,742",366,422,110,104,50,54,32,46,42,36,10,23,447
Perry,231,46,48,14,16,9,7,14,11,6,7,4,4,45
Piatt,173,46,42,13,6,5,2,1,9,2,1,6,0,40
Pike,219,38,44,9,22,11,3,4,12,9,2,2,5,58
Pope,61,15,15,2,3,1,0,2,2,1,1,1,2,16
Pulaski,87,17,19,3,11,1,4,2,2,2,2,3,2,19
Putnam,51,7,19,3,0,3,0,0,3,1,2,0,0,13
Randolph,388,86,81,17,29,36,17,11,11,8,6,5,3,78
Richland,180,39,44,8,12,6,0,1,4,4,4,0,2,56
Rock Island,"1,583",475,346,70,97,44,43,35,31,35,26,17,13,351
St. Clair,"2,460",562,526,139,160,105,71,54,91,30,57,39,29,597
Saline,327,68,61,18,24,10,18,15,15,6,5,5,0,82
Sangamon,"1,770",399,440,70,100,84,43,28,39,35,29,18,21,464
Schuyler,97,22,24,4,9,5,1,4,6,0,1,0,1,20
Scott,63,17,13,2,4,3,1,0,0,2,1,0,2,18
Shelby,231,72,47,21,7,7,7,6,6,3,2,2,4,47
Stark,81,16,14,1,4,6,6,0,4,1,1,2,0,26
Stephenson,504,96,137,40,34,22,12,9,15,11,4,2,5,117
Tazewell,"1,403",307,341,69,86,35,45,36,43,41,33,4,11,352
Union,222,53,52,13,16,9,4,8,7,7,4,1,5,43
Vermilion,982,282,196,42,84,31,34,27,15,17,26,13,7,208
Wabash,153,34,36,7,13,6,3,3,2,4,1,2,1,41
Warren,194,49,52,13,13,6,2,1,4,4,2,2,0,46
Washington,152,37,27,14,8,10,1,8,3,2,5,1,0,36
Wayne,204,42,42,19,18,6,3,4,1,5,2,6,0,56
White,191,48,50,5,15,7,2,8,2,8,4,0,0,42
Whiteside,659,156,160,43,52,24,16,15,14,12,12,4,5,146
Will,"3,869",985,979,184,192,164,79,108,82,63,50,60,47,876
Williamson,767,177,172,44,36,37,24,27,15,28,20,8,9,170
Winnebago,"2,669",615,707,169,146,106,66,54,43,43,27,20,46,627
Woodford,345,73,81,24,15,9,20,5,7,10,5,6,0,90
