County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes,COVID_19
ILLINOIS,103069,25979,24210,5765,5584,4173,3188,2839,2663,2571,1956,1188,1144,21809,
Adams,843,199,157,49,68,27,22,27,38,26,14,14,6,196,
Alexander,111,27,26,12,2,3,1,7,3,5,4,1,0,20,
Bond,156,43,36,8,9,11,9,2,8,3,1,0,1,25,
Boone,365,95,80,24,26,17,17,13,7,4,7,5,5,65,
Brown,56,18,8,4,4,2,0,1,1,0,2,0,2,14,
Bureau,397,102,95,17,22,21,18,7,10,23,2,6,5,71,
Carroll,195,49,48,16,14,10,1,4,6,9,2,1,3,32,
Cass,166,47,37,9,16,5,6,1,2,6,2,2,1,32,
Champaign,1147,254,257,58,70,68,51,29,27,21,16,15,7,274,
Christian,388,95,90,19,25,20,9,6,15,8,7,2,3,89,
Clark,211,69,47,13,12,11,5,7,2,4,5,1,1,34,
Clay,182,43,44,13,15,10,4,4,3,2,6,5,0,33,
Clinton,360,83,85,21,24,15,21,8,10,6,6,2,4,75,
Coles,535,138,130,40,40,19,15,14,11,17,6,9,5,91,
Cook,40631,10744,9682,2164,1703,1420,939,1180,1091,1040,1004,414,477,8773,
Crawford,235,61,59,18,21,7,5,4,7,10,0,3,0,40,
Cumberland,122,21,33,8,9,4,2,3,7,4,2,4,4,21,
DeKalb,630,160,127,45,28,32,31,30,9,10,7,6,7,138,
DeWitt,187,39,45,11,15,10,14,4,1,2,2,2,1,41,
Douglas,211,49,46,16,13,11,8,6,11,5,0,3,0,43,
Edgar,244,76,45,21,19,9,13,1,4,1,0,3,4,48,
Edwards,83,32,16,5,3,5,0,0,2,4,0,0,1,15,
Effingham,300,68,69,21,18,17,9,7,4,13,1,3,1,69,
Fayette,206,52,50,10,18,4,9,10,5,2,1,2,0,43,
Ford,210,51,40,10,14,13,11,3,7,8,5,0,2,46,
Franklin,558,120,127,26,38,26,41,23,13,24,11,6,8,440,
Greene,187,51,39,11,12,12,5,6,8,9,4,0,3,27,
Grundy,371,94,96,14,10,20,16,18,10,10,5,2,5,71,
Hamilton,115,47,22,7,9,7,1,1,4,4,1,2,1,9,
Hancock,213,59,46,11,10,12,7,5,11,6,4,1,2,39,
Hardin,60,13,13,5,4,7,0,4,0,0,2,0,0,12,
Henderson,84,22,17,6,4,4,2,4,2,2,0,4,1,16,
Henry,508,141,116,24,35,27,21,12,18,11,9,7,2,85,
Iroquois,388,92,86,31,29,6,26,13,6,9,6,5,4,75,
Jackson,460,108,117,18,28,25,28,14,9,11,4,6,5,87,
Jasper,112,28,28,8,5,4,1,1,5,3,1,6,0,22,
Jefferson,459,106,98,20,41,24,20,12,35,10,9,7,3,209,
Johnson,120,27,34,5,7,3,4,2,2,5,4,0,1,26,
Kane,2677,597,660,135,137,100,81,91,60,66,62,34,34,0,
Kankakee,1104,305,236,53,60,44,81,24,31,33,18,10,10,199,
Kendall,393,83,96,13,19,29,15,15,4,10,5,11,4,89,
Knox,684,148,121,44,70,36,42,14,24,10,7,9,2,157,
Lake,3960,864,1030,226,211,183,118,106,78,82,56,74,54,878,
LaSalle,1293,348,305,70,71,56,43,34,38,19,13,9,20,267,
Lawrence,196,51,30,9,14,13,17,2,4,8,5,2,2,39,
Lee,352,69,98,21,25,13,14,10,7,12,7,4,3,69,
Livingston,396,111,87,23,24,27,10,14,10,12,8,7,4,320,
McDonough,295,84,69,33,21,6,6,4,7,2,2,3,2,56,
McHenry,1863,448,466,108,94,80,65,59,38,27,24,24,32,398,
McLean,1157,299,260,57,71,54,66,33,22,20,12,19,21,223,
Macon,1239,307,300,84,73,33,28,32,14,49,32,16,5,266,
Macoupin,567,153,132,30,36,26,15,17,18,15,5,7,7,2676,
Marion,511,129,109,24,40,22,26,20,17,21,9,5,4,172,
Mason,197,45,53,10,18,7,10,4,5,3,4,1,0,37,
Massac,203,48,47,9,17,9,5,5,3,14,1,2,2,41,
Menard,128,25,29,11,13,5,2,2,5,2,0,0,0,34,
Mercer,148,34,31,3,22,6,11,5,1,8,1,2,2,299,
Montgomery,390,100,89,37,20,16,24,8,13,7,2,5,1,442,
Ogle,442,93,98,32,29,18,23,13,10,13,7,9,2,95,
Peoria,1754,433,413,108,95,66,49,44,55,45,41,23,19,363,
Perry,269,66,61,14,17,14,8,14,6,4,2,2,1,60,
Piatt,167,34,40,7,8,9,4,7,6,2,0,0,3,47,
Pike,212,40,45,13,15,7,4,7,9,6,5,1,4,56,
Pope,57,14,15,2,7,3,1,0,1,1,0,1,1,11,
Pulaski,83,26,14,5,5,3,2,1,1,4,0,2,0,20,
Putnam,56,7,22,3,3,7,2,2,0,1,2,2,2,3,
Randolph,372,82,79,26,31,12,17,16,9,8,2,3,1,86,
Richland,211,44,42,15,17,13,0,2,8,10,3,2,2,53,
St. Clair,2477,574,563,137,158,110,89,108,39,55,47,31,23,543,
Saline,381,89,86,25,18,12,27,10,10,13,4,4,7,76,
Sangamon,1782,415,389,116,108,87,34,40,48,49,25,14,35,422,
Schuyler,80,29,17,1,6,3,0,5,1,2,0,1,1,14,
Scott,50,15,12,2,3,3,0,1,0,0,2,2,0,10,
Shelby,262,67,68,16,11,15,3,9,9,9,2,2,3,48,
Stark,57,13,20,2,3,1,1,0,2,4,0,1,0,10,
Stephenson,512,107,124,40,38,19,10,14,8,9,9,6,4,124,
Tazewell,1353,284,308,74,82,57,74,33,44,34,21,13,9,320,
Union,222,56,51,12,10,8,10,2,10,12,6,3,2,40,
Vermilion,926,226,212,49,93,44,14,26,18,12,16,8,4,136,
Warren,209,64,33,21,8,11,4,3,9,4,2,7,2,41,
Washington,166,46,38,14,7,12,2,5,3,4,5,3,2,25,
Wayne,221,65,41,17,24,8,1,1,12,5,4,2,3,38,
White,207,60,42,8,24,4,8,4,5,8,6,3,0,35,
Whiteside,653,177,141,45,46,31,16,23,21,13,5,6,6,3820,
Williamson,758,189,154,44,65,36,31,16,17,33,16,13,8,136,
Winnebago,2644,618,655,149,152,142,67,49,45,67,29,25,39,607,
Woodford,344,85,57,23,22,15,19,8,9,4,0,3,4,95,
ILLINOIS,99896,24891,24159,5298,5243,3958,2896,2740,2688,2412,1993,1166,1111,21341,
Adams,788,197,149,80,39,32,16,21,16,25,17,10,7,179,
Alexander,111,38,21,8,4,2,1,6,7,3,2,1,0,18,
Bond,168,43,45,11,10,5,9,5,5,10,4,0,1,20,
Boone,316,80,72,16,21,11,17,15,3,4,9,7,10,51,
Brown,59,15,12,4,6,0,0,3,1,0,1,1,0,16,
Bureau,357,93,94,26,21,16,11,5,12,15,3,4,2,55,
Calhoun,60,22,12,5,4,4,2,1,2,0,1,0,1,6,
Carroll,181,46,51,15,6,10,2,5,3,1,4,0,0,38,
Cass,148,54,33,10,3,9,2,2,3,6,5,0,0,21,
Champaign,1186,236,275,59,51,63,51,37,28,31,28,24,7,296,
Christian,386,95,100,17,23,11,14,8,11,12,8,4,4,79,
Clark,214,50,53,14,20,12,9,5,5,4,2,1,1,38,
Clay,198,49,44,21,9,8,2,7,8,5,3,2,2,38,
Clinton,349,90,91,10,23,18,19,10,7,8,10,5,2,56,
Coles,455,119,88,47,25,19,12,18,10,15,10,7,5,80,
Cook,39146,10339,9466,1584,1966,1313,883,1162,1161,984,994,396,464,8434,
Chicago,19216,5251,4431,716,933,747,358,624,563,497,516,187,252,4141,
Suburban Cook,19930,5088,5035,868,1033,566,525,538,598,487,478,209,212,4293,
Crawford,252,64,58,13,21,10,7,8,5,10,3,3,2,48,
Cumberland,115,27,26,9,3,7,1,8,1,2,2,1,0,28,
DeKalb,679,157,160,32,29,41,35,15,18,6,11,12,5,158,
DeWitt,222,47,54,17,9,9,10,10,8,3,0,2,0,53,
Douglas,175,45,41,16,10,4,7,3,7,7,1,0,1,33,
Edgar,231,74,44,31,12,7,15,3,6,4,2,2,0,31,
Edwards,74,22,14,5,3,6,0,1,2,0,3,0,1,17,
Effingham,308,76,85,17,23,22,10,13,5,9,1,0,2,45,
Fayette,205,45,42,20,15,11,7,9,6,11,0,2,2,35,
Ford,194,42,44,9,9,4,18,1,6,5,5,3,0,48,
Franklin,520,90,115,46,26,23,40,29,19,10,15,2,4,101,
Fulton,470,115,108,21,24,16,17,12,5,12,10,3,4,123,
Gallatin,85,26,20,6,4,3,1,2,3,2,3,2,2,11,
Greene,169,38,45,4,7,11,3,6,5,5,3,3,2,37,
Grundy,374,102,109,14,17,25,16,7,8,6,3,4,6,57,
Hamilton,110,46,27,7,6,0,1,2,6,0,2,1,0,12,
Hancock,200,59,42,16,6,12,6,3,7,4,4,1,0,40,
Hardin,59,11,18,8,5,5,0,1,2,1,0,0,0,8,
Henderson,75,25,17,7,2,3,5,0,0,2,1,3,1,9,
Henry,525,135,129,31,34,18,10,13,12,9,10,9,2,113,
Iroquois,346,96,72,22,24,10,25,10,7,9,6,3,2,60,
Jackson,436,95,107,28,27,24,19,9,17,6,12,5,7,80,
Jasper,92,30,20,6,6,1,4,3,2,6,1,1,0,12,
Jefferson,449,96,104,31,17,19,23,9,10,50,13,2,5,70,
Jersey,197,61,43,10,9,10,15,8,4,1,0,0,0,36,
Jo Daviess,235,59,55,10,22,11,14,2,7,4,4,1,3,43,
Johnson,127,25,34,12,11,4,4,2,1,4,2,2,4,22,
Kane,2743,606,668,127,151,114,64,92,75,56,54,32,41,663,
Kankakee,1069,258,234,77,44,46,46,15,52,28,30,8,15,216,
Kendall,442,95,108,24,18,24,11,8,18,10,3,13,4,106,
Knox,600,182,130,48,33,23,23,12,5,15,3,8,0,118,
Lake,3941,850,1013,239,196,160,120,123,92,100,58,64,45,881,
LaSalle,1198,348,273,61,54,73,38,29,22,31,14,10,15,230,
Lawrence,231,55,36,13,16,10,17,8,6,4,2,1,2,61,
Lee,377,86,109,19,14,20,13,8,6,6,7,7,5,77,
Livingston,394,116,101,24,16,14,9,12,14,7,8,4,1,68,
Logan,316,61,61,26,20,16,14,10,6,7,5,1,2,87,
McDonough,297,87,70,14,28,7,4,7,3,10,4,4,3,56,
McHenry,1716,356,472,119,85,87,52,52,27,41,17,35,23,350,
McLean,1086,246,245,68,49,61,65,26,13,20,11,21,8,253,
Macon,1121,300,293,54,73,35,20,23,31,12,14,18,4,244,
Macoupin,574,137,123,34,31,29,21,16,15,15,10,8,7,128,
Madison,2644,681,601,176,133,139,90,68,75,63,49,39,44,486,
Marion,497,142,107,33,28,28,14,14,15,13,7,3,2,91,
Marshall,147,41,28,5,11,6,11,2,2,0,5,2,1,0,
Mason,179,46,40,11,12,9,13,2,2,3,5,3,3,30,
Massac,189,52,35,11,12,11,1,9,6,2,2,4,1,43,
Menard,132,35,30,2,7,9,9,2,1,7,3,0,2,25,
Mercer,173,54,28,12,7,10,11,5,6,6,1,2,0,31,
Monroe,261,63,57,11,21,9,7,6,3,2,6,3,1,72,
Montgomery,375,87,86,21,24,21,21,8,12,16,2,4,6,67,
Morgan,359,90,85,21,21,18,12,7,2,13,8,7,4,71,
Moultrie,159,35,30,9,9,7,4,8,8,2,2,2,1,42,
Ogle,452,128,96,27,31,22,23,6,10,10,6,5,3,85,
Peoria,1695,350,424,115,112,74,48,37,38,38,23,24,19,393,
Perry,226,63,49,16,12,4,10,6,11,4,8,2,2,39,
Piatt,161,42,35,6,12,8,3,3,3,4,1,1,2,41,
Pike,200,39,42,22,7,10,2,6,6,3,1,3,1,58,
Pope,31,9,3,2,3,1,0,1,3,0,1,4,0,4,
Pulaski,70,24,10,5,8,2,2,1,1,5,1,1,0,10,
Putnam,63,12,23,2,4,2,1,2,1,0,3,0,2,11,
Randolph,391,101,98,10,14,19,10,12,16,10,11,5,3,82,
Richland,181,52,47,9,6,12,1,0,4,4,3,6,2,35,
Rock Island,1414,386,327,84,67,51,54,40,32,22,18,12,12,309,
St. Clair,2476,538,560,196,151,112,74,108,59,47,49,25,19,538,
Saline,335,76,69,23,20,10,17,9,14,10,11,4,7,65,
Sangamon,1930,469,459,136,94,85,45,42,35,46,26,25,22,446,
Schuyler,85,25,20,5,6,4,1,1,3,4,2,2,1,11,
Scott,50,12,9,3,5,3,0,0,1,2,2,0,0,13,
Shelby,248,65,67,9,24,13,5,8,2,7,2,2,2,42,
Stark,84,25,15,4,2,4,7,2,0,3,2,0,0,20,
Stephenson,531,111,127,34,41,18,11,14,9,17,12,4,6,127,
Tazewell,1328,323,345,86,73,42,40,33,26,34,33,11,12,270,
Union,219,42,49,15,11,8,15,5,8,9,5,1,1,50,
Vermilion,912,213,231,80,54,45,12,21,22,18,21,10,14,171,
Wabash,128,28,25,7,4,9,3,3,8,2,3,3,5,28,
Warren,189,46,41,13,21,6,5,8,1,5,3,5,0,35,
Washington,135,33,31,9,11,7,1,1,6,2,2,2,1,29,
Wayne,206,57,46,13,13,3,2,5,7,4,3,4,0,49,
White,218,57,58,15,10,7,11,10,3,4,2,2,0,39,
Whiteside,616,169,158,41,34,23,23,18,12,8,3,6,4,117,
Will,3724,874,1004,164,168,161,81,101,101,81,58,44,65,822,
Williamson,750,173,186,43,38,23,17,16,33,31,15,12,7,156,
Winnebago,2555,609,629,153,137,139,52,43,65,40,28,32,31,597,
Woodford,370,78,90,24,19,16,29,9,8,12,2,7,3,73,
ILLINOIS,99624,24868,24016,5333,5219,3961,2915,2607,2499,2205,1858,1169,1119,21855,
Adams,721,153,151,42,53,28,26,24,15,26,10,6,4,183,
Alexander,91,28,12,4,6,6,0,2,3,0,1,1,1,27,
Bond,181,52,27,9,14,17,9,4,4,4,3,3,2,33,
Boone,325,71,91,17,18,16,8,11,7,7,4,3,12,60,
Brown,69,14,11,5,10,2,0,1,1,1,2,1,0,21,
Bureau,382,98,86,31,23,22,15,10,3,14,3,9,2,66,
Calhoun,49,14,12,5,6,5,1,2,0,0,1,2,0,1,
Carroll,200,46,49,8,21,15,4,2,4,4,1,3,3,40,
Cass,139,34,33,11,9,3,0,0,6,4,0,1,2,36,
Champaign,1124,230,260,59,83,60,50,36,22,20,16,17,8,263,
Christian,409,111,97,29,25,16,10,12,9,9,7,3,5,76,
Clark,204,56,39,9,16,13,15,5,7,7,1,2,5,29,
Clay,175,31,38,12,11,13,1,1,3,5,9,2,0,49,
Clinton,295,64,72,14,15,14,8,17,1,6,5,3,2,74,
Coles,519,132,117,41,40,26,14,10,10,8,7,6,7,101,
Cook,38605,10247,9431,1978,1588,1281,879,1057,1102,893,864,390,449,8446,
Chicago,18598,5077,4494,882,687,672,345,504,598,433,460,171,226,4046,
Suburban Cook,20007,5170,4937,1096,901,609,534,553,504,460,404,219,223,4400,
Crawford,223,60,48,16,11,7,9,11,3,4,4,3,2,45,
Cumberland,116,30,28,7,13,10,3,1,3,0,0,0,0,21,
DeKalb,662,161,147,34,37,23,33,17,22,14,7,2,7,158,
DeWitt,163,37,36,11,20,7,9,5,3,2,1,0,0,32,
Douglas,177,46,45,6,10,8,7,1,4,6,2,1,1,40,
Edgar,242,74,40,17,20,7,18,8,2,4,5,4,2,41,
Edwards,91,18,25,4,6,4,1,1,0,3,3,3,2,21,
Effingham,332,72,67,23,24,28,9,7,13,9,4,0,3,73,
Fayette,209,41,51,11,9,12,12,2,6,10,4,5,2,44,
Ford,198,48,47,11,8,5,11,7,2,3,2,2,1,51,
Franklin,547,98,112,22,50,28,46,20,29,14,20,6,3,99,
Fulton,437,111,100,22,18,17,18,9,9,4,10,4,2,113,
Gallatin,89,31,17,4,4,3,2,8,2,2,3,2,2,9,
Greene,148,39,38,9,6,5,4,6,7,3,3,1,0,27,
Grundy,361,78,80,26,13,22,17,7,14,5,5,5,4,85,
Hamilton,115,42,40,4,2,4,1,5,1,1,2,1,0,12,
Hancock,176,50,52,10,12,3,7,0,3,3,3,0,1,32,
Hardin,62,13,17,1,6,4,2,2,1,1,1,2,0,12,
Henderson,75,23,23,3,7,3,3,0,1,1,1,1,0,9,
Henry,567,137,152,40,31,23,9,11,7,6,11,9,7,124,
Iroquois,380,101,85,33,16,13,28,11,16,3,11,5,4,54,
Jackson,459,108,104,23,29,14,14,15,16,8,13,3,3,109,
Jasper,100,25,22,2,5,8,7,3,0,7,1,2,1,17,
Jefferson,443,87,101,20,26,18,21,14,7,42,5,6,8,88,
Jersey,237,67,56,7,16,12,13,6,10,5,5,2,2,36,
Jo Daviess,225,54,62,14,12,6,11,6,0,6,2,2,3,47,
Johnson,119,15,28,6,5,8,2,5,1,2,8,1,1,37,
Kane,2771,597,703,166,114,100,66,82,71,54,46,48,37,687,
Kankakee,971,258,264,43,56,35,44,29,20,26,15,8,10,163,
Kendall,473,98,121,30,23,17,9,21,12,8,4,8,6,116,
Knox,701,171,145,36,64,31,34,12,17,28,10,8,10,135,
Lake,4047,937,1013,180,197,189,115,109,105,94,54,67,55,932,
LaSalle,1284,342,306,87,72,73,42,16,19,25,15,15,19,253,
Lawrence,200,30,43,5,19,9,15,6,7,6,6,6,2,46,
Lee,317,87,73,15,22,17,11,6,3,3,5,4,5,66,
Livingston,416,130,68,38,26,13,15,9,14,11,11,3,4,74,
Logan,328,67,85,17,7,10,22,4,6,6,4,2,2,96,
McDonough,295,91,61,18,16,7,5,7,6,12,5,4,1,62,
McHenry,1865,409,504,76,95,89,48,41,43,27,27,41,26,439,
McLean,1096,255,288,56,65,53,56,23,25,20,12,17,16,2010,
Macon,1166,307,296,78,64,32,20,36,21,14,22,8,12,256,
Macoupin,517,140,110,28,41,24,17,12,8,16,8,3,4,106,
Madison,2627,678,635,155,155,155,82,60,59,52,53,28,21,494,
Marion,541,139,138,17,28,25,15,18,19,20,15,9,3,95,
Marshall,173,53,40,13,10,4,13,2,1,0,2,2,3,30,
Mason,201,36,46,11,15,15,9,9,4,4,3,2,2,45,
Massac,215,54,52,9,15,9,5,5,6,2,0,3,1,54,
Menard,121,38,26,2,3,4,2,1,3,4,1,2,0,35,
Mercer,157,44,39,5,6,7,12,5,5,1,1,2,2,28,
Monroe,253,52,63,16,12,13,13,4,2,8,5,1,1,63,
Montgomery,351,85,88,16,23,12,18,3,11,15,9,3,4,64,
Morgan,338,92,74,11,32,22,5,4,7,17,1,0,1,72,
Moultrie,206,59,42,11,13,7,1,8,14,4,0,1,0,46,
Ogle,471,110,119,32,24,25,26,17,8,3,8,6,4,89,
Peoria,1720,358,423,108,96,65,51,38,37,55,43,19,17,410,
Perry,250,59,48,13,25,9,8,11,7,5,7,4,3,51,
Piatt,143,37,29,8,7,7,4,1,5,4,2,1,1,37,
Pike,200,34,43,20,14,10,3,4,8,6,4,0,4,50,
Pope,58,12,16,5,5,3,0,1,2,1,0,0,0,13,
Pulaski,86,23,28,2,4,3,1,5,1,0,1,0,0,18,
Putnam,48,10,10,2,1,3,2,0,2,0,0,1,3,14,
Randolph,335,76,62,12,27,21,16,12,10,8,4,4,2,81,
Richland,197,54,43,15,7,5,0,6,2,5,1,1,1,57,
Rock Island,1445,422,339,71,94,48,32,22,34,35,30,14,19,285,
St. Clair,2372,527,554,141,158,93,76,62,86,36,37,29,29,544,
Saline,376,96,75,23,25,15,25,14,7,8,12,5,5,66,
Sangamon,1766,422,398,86,125,101,50,33,35,29,19,28,33,407,
Schuyler,77,27,19,5,4,5,0,1,0,2,0,1,0,13,
Scott,60,13,14,2,8,5,0,1,1,6,0,1,0,9,
Shelby,235,73,58,13,20,7,2,3,3,7,3,2,2,42,
Stark,83,16,17,6,4,6,7,5,1,2,1,0,1,17,
Stephenson,517,114,113,33,33,20,16,8,11,11,12,5,5,136,
Tazewell,1351,319,326,72,85,41,43,39,32,29,20,17,12,316,
Union,197,43,40,16,10,9,9,5,6,7,2,2,0,48,
Vermilion,922,243,206,54,96,36,24,21,16,14,14,7,13,178,
Wabash,160,46,33,4,13,15,1,3,1,4,6,0,3,31,
Warren,167,48,28,16,12,8,4,3,8,4,3,1,2,30,
Washington,144,36,31,18,10,4,0,8,4,4,3,2,1,23,
Wayne,195,40,50,17,8,7,3,5,5,7,2,1,2,48,
White,239,58,59,9,19,10,8,2,6,9,5,6,3,45,
Whiteside,620,183,141,34,44,19,11,16,15,13,10,3,4,127,
Will,3761,923,973,173,183,175,100,104,86,69,55,55,41,824,
Williamson,739,158,171,36,46,32,24,32,9,19,23,7,8,174,
Winnebago,2609,641,591,151,162,132,72,66,55,42,30,33,30,604,
Woodford,350,85,74,23,21,14,29,7,7,7,4,2,1,76,
ILLINOIS,101291,24607,23852,5324,5369,3510,2896,2361,2658,2394,1828,1041,1121,24330,
Adams,815,199,167,43,52,26,28,16,21,32,16,8,2,205,
Alexander,105,29,19,5,7,1,3,3,4,2,3,1,0,28,
Bond,177,35,42,6,12,7,9,5,4,8,3,3,2,41,
Boone,364,83,82,25,30,10,13,3,11,6,4,2,3,92,
Brown,46,11,12,3,3,3,1,0,1,0,1,0,2,9,
Bureau,376,94,85,21,31,13,11,10,7,12,4,3,5,80,
Calhoun,53,20,8,2,4,1,0,0,1,2,1,0,0,14,
Carroll,181,41,52,5,10,4,3,2,8,3,4,5,1,43,
Cass,142,34,37,14,15,6,0,4,0,4,2,0,0,26,
Champaign,1209,260,273,54,63,48,62,26,25,28,20,8,12,330,
Christian,404,83,98,24,26,14,18,11,9,14,10,5,3,89,
Clark,198,39,45,18,12,7,5,2,4,5,7,5,2,47,
Clay,176,33,45,14,16,11,1,4,1,9,2,2,1,37,
Clinton,319,97,72,18,9,13,8,6,3,3,9,4,4,73,
Coles,457,135,83,27,30,18,11,13,14,13,2,2,3,106,
Cook,38871,10114,9221,1981,1655,1148,858,949,1092,967,805,336,451,9294,
Chicago,18743,5008,4333,889,718,639,370,455,566,472,415,160,239,4479,
Suburban Cook,20128,5106,4888,1092,937,509,488,494,526,495,390,176,212,4815,
Crawford,214,49,43,20,12,11,8,6,5,9,3,1,1,46,
Cumberland,130,26,39,6,4,8,2,1,3,2,1,3,1,34,
DeKalb,667,143,157,32,40,29,30,17,14,14,8,5,10,168,
DeWitt,157,40,42,8,9,7,9,2,5,3,2,0,2,28,
Douglas,188,54,40,13,14,8,8,3,1,6,4,2,2,33,
Edgar,192,57,41,12,15,9,7,3,5,3,5,1,1,33,
Edwards,67,22,21,1,4,3,0,2,0,1,1,0,1,11,
Effingham,341,69,84,21,21,23,11,5,13,4,9,0,1,80,
Fayette,210,41,45,12,20,11,13,6,8,7,1,4,1,41,
Ford,199,41,27,10,10,5,17,5,3,7,0,2,1,71,
Franklin,544,87,126,27,41,18,48,17,28,13,16,11,6,106,
Fulton,462,82,102,30,42,18,12,12,6,14,8,7,1,128,
Gallatin,83,16,18,5,5,7,5,1,0,5,1,2,2,16,
Greene,146,39,28,11,9,5,2,4,6,2,4,1,0,35,
Grundy,412,107,97,17,28,22,12,6,13,9,6,10,8,77,
Hamilton,114,39,31,3,5,2,2,8,3,2,1,1,1,16,
Hancock,191,46,39,14,17,9,15,3,1,6,3,3,0,35,
Hardin,54,15,11,3,5,3,0,3,0,2,0,0,0,12,
Henderson,79,17,16,7,7,1,6,3,5,4,2,0,1,10,
Henry,515,109,117,26,38,20,9,11,14,15,7,8,5,136,
Iroquois,387,97,84,29,27,14,31,8,16,6,10,2,3,60,
Jackson,481,109,94,34,23,25,25,13,9,13,9,10,6,111,
Jasper,97,29,17,5,3,2,1,1,2,4,3,2,1,27,
Jefferson,435,95,101,14,23,24,22,18,9,20,7,7,3,92,
Jersey,262,73,51,12,11,11,25,4,17,2,2,3,2,49,
Jo Daviess,236,46,60,17,15,14,17,5,2,8,0,5,1,46,
Johnson,123,21,23,1,5,2,1,4,0,3,2,2,1,58,
Kane,2867,529,716,145,163,109,66,75,85,65,40,36,47,791,
Kankakee,1037,271,232,46,58,48,46,27,23,23,25,12,9,217,
Kendall,484,104,129,22,24,18,6,16,11,7,6,10,8,123,
Knox,647,153,114,34,50,15,31,9,23,32,8,5,4,169,
Lake,4041,880,1007,218,206,120,104,81,138,90,64,55,45,1033,
LaSalle,1318,361,299,66,85,61,40,17,36,30,15,19,15,274,
Lawrence,221,37,40,13,15,11,16,6,12,8,5,0,1,57,
Lee,363,82,83,20,24,16,10,9,4,7,3,5,4,96,
Livingston,419,120,89,27,24,14,13,12,10,6,10,1,5,88,
Logan,282,62,59,17,17,8,18,4,2,9,11,5,1,67,
McDonough,294,78,66,16,17,15,3,2,7,8,3,0,3,76,
McHenry,1892,389,487,86,142,80,58,46,41,33,22,22,29,457,
McLean,1064,238,244,54,56,22,71,18,29,21,18,14,16,2010,
Macoupin,547,154,117,30,32,19,16,14,16,15,8,4,4,118,
Madison,2666,646,585,146,153,146,88,61,67,58,43,18,31,624,
Marion,544,137,134,23,37,12,23,20,15,14,7,11,5,106,
Marshall,157,43,23,17,9,4,11,4,3,2,2,1,3,35,
Mason,200,45,43,6,18,5,8,3,4,5,8,2,4,49,
Massac,215,53,32,13,25,12,4,2,6,6,2,5,0,55,
