County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes,COVID_19
Carroll,177,61,31,9,9,7,2,4,4,3,4,0,0,0,
Cass,159,50,42,10,8,1,1,6,5,1,2,0,0,0,
Champaign,1311,281,278,66,78,82,55,14,21,22,30,0,0,0,
Christian,415,96,99,13,26,25,19,9,6,7,13,0,0,0,
Clark,178,35,36,13,13,10,10,8,10,7,4,0,0,0,
Clay,181,41,52,9,8,9,6,3,12,6,6,0,0,0,
Clinton,343,99,74,16,17,18,8,10,6,12,5,0,0,0,
Coles,524,124,107,33,34,21,21,8,11,11,9,0,0,0,
Cook,40891,9948,9394,2243,1647,2049,1429,1147,952,899,621,0,0,0,
Chicago,19809,4927,4432,1069,673,1139,596,634,452,430,298,0,0,0,
Suburban Cook,21082,5021,4962,1174,974,910,833,513,500,469,323,0,0,0,
Crawford,255,70,49,17,14,17,10,5,8,5,4,0,0,0,
Cumberland,109,23,25,8,2,6,3,6,2,3,0,0,0,0,
DeKalb,700,142,183,28,48,40,24,26,16,7,11,0,0,0,
DeWitt,189,46,39,9,13,8,19,4,5,2,2,0,0,0,
Douglas,181,46,39,11,8,11,11,5,1,6,3,0,0,0,
Edgar,227,64,51,7,18,12,10,8,13,2,1,0,0,0,
Edwards,73,19,10,7,6,6,1,2,3,4,0,0,0,0,
Effingham,303,60,65,20,17,16,13,4,6,11,7,0,0,0,
Fayette,223,57,53,12,10,14,9,7,3,5,3,0,0,0,
Ford,209,41,45,9,16,7,27,4,5,2,4,0,0,0,
Franklin,519,89,113,22,49,37,21,15,21,11,20,0,0,0,
Fulton,479,109,87,21,43,17,22,8,8,7,9,0,0,0,
Gallatin,70,21,15,3,8,3,2,2,2,2,2,0,0,0,
Greene,190,35,45,10,20,10,6,2,2,6,8,0,0,0,
Hamilton,98,21,23,12,9,6,3,2,3,4,2,0,0,0,
Hancock,220,50,47,8,13,12,7,4,9,7,10,0,0,0,
Hardin,74,19,20,4,5,2,0,4,2,1,0,0,0,0,
Henderson,86,25,19,3,12,4,3,1,3,1,0,0,0,0,
Henry,561,143,117,23,46,23,14,15,14,13,6,0,0,0,
Iroquois,406,100,89,22,24,26,31,19,8,5,6,0,0,0,
Jackson,450,107,81,15,34,31,10,10,19,14,14,0,0,0,
Jasper,113,23,27,3,10,12,2,5,2,6,1,0,0,0,
Jefferson,407,96,80,16,27,26,20,23,12,9,7,0,0,0,
Jersey,272,69,48,7,22,13,17,10,6,11,5,0,0,0,
Jo Daviess,258,56,55,24,9,21,20,3,2,4,2,0,0,0,
Johnson,121,27,27,4,10,7,2,2,4,2,0,0,0,0,
Kane,3165,675,742,178,142,170,72,85,76,50,44,0,0,0,
Kankakee,1180,305,288,64,58,57,49,22,23,28,18,0,0,0,
Kendall,560,102,143,38,31,51,15,11,9,8,7,0,0,0,
Knox,681,169,132,36,60,27,41,28,8,16,8,0,0,0,
Lake,4506,922,1175,209,234,223,157,112,127,74,62,0,0,0,
LaSalle,1296,287,300,69,85,59,61,37,26,25,12,0,0,0,
Lawrence,214,39,49,9,13,5,17,12,5,7,4,0,0,0,
Lee,365,91,93,16,36,18,10,2,8,3,8,0,0,0,
Livingston,430,122,99,22,23,22,14,10,6,8,8,0,0,0,
Logan,362,72,91,23,20,16,13,7,11,15,6,0,0,0,
McDonough,320,78,67,20,29,13,7,6,11,10,3,0,0,0,
McHenry,2066,458,531,99,112,131,63,65,39,21,22,0,0,0,
McLean,1135,272,246,44,79,59,73,22,17,13,14,0,0,0,
Macon,1215,264,283,70,82,65,28,20,28,26,21,0,0,0,
Macoupin,605,144,141,30,35,43,19,17,7,8,8,0,0,0,
Madison,2772,686,602,159,162,159,126,76,77,35,52,0,0,0,
Marion,537,136,103,26,41,34,21,22,14,10,9,0,0,0,
Marshall,156,30,37,9,17,1,9,1,4,10,2,0,0,0,
Mason,184,40,58,9,16,4,6,3,2,2,3,0,0,0,
Massac,214,67,38,12,15,13,7,7,8,4,2,0,0,0,
Menard,131,24,32,4,3,14,5,1,3,2,5,0,0,0,
Mercer,189,43,49,8,8,6,6,8,2,1,3,0,0,0,
Montgomery,368,81,87,25,16,20,24,5,13,9,5,0,0,0,
Morgan,388,119,83,18,28,18,7,6,2,10,6,0,0,0,
Moultrie,194,40,38,12,16,8,6,3,3,3,5,0,0,0,
Ogle,500,101,124,35,46,26,17,5,7,6,6,0,0,0,
Peoria,1842,404,374,108,116,90,43,51,28,54,43,0,0,0,
Perry,233,49,49,11,16,16,13,12,16,5,4,0,0,0,
Piatt,176,44,49,8,14,10,2,5,4,2,3,0,0,0,
Pike,209,44,45,8,12,11,4,10,2,3,3,0,0,0,
Pope,50,13,14,3,7,3,1,0,1,0,0,0,0,0,
Pulaski,73,18,18,7,3,2,4,2,3,3,1,0,0,0,
Putnam,61,16,9,3,3,4,1,0,1,4,0,0,0,0,
Randolph,387,78,92,23,38,24,12,6,10,10,5,0,0,0,
Richland,225,45,49,6,16,12,1,4,5,9,1,0,0,0,
Rock Island,1618,418,328,68,86,57,52,30,44,34,30,0,0,0,
St. Clair,2488,604,567,101,129,129,82,75,69,55,65,0,0,0,
Saline,369,82,64,16,28,17,11,12,14,15,11,0,0,0,
Sangamon,1896,417,403,100,84,96,53,54,32,32,34,0,0,0,
Schuyler,99,23,23,11,7,6,0,0,4,2,1,0,0,0,
Scott,63,10,14,3,2,5,0,3,3,1,1,0,0,0,
Shelby,228,55,49,11,15,8,2,6,2,9,7,0,0,0,
Stark,67,12,12,5,3,1,1,2,2,2,1,0,0,0,
Stephenson,564,125,107,23,46,33,12,22,11,11,9,0,0,0,
Tazewell,1387,348,298,67,79,59,57,29,9,42,27,0,0,0,
Union,213,41,46,13,16,11,4,2,8,10,5,0,0,0,
Vermilion,956,240,221,39,89,45,22,21,30,9,11,0,0,0,
Wabash,151,43,27,5,13,5,4,1,4,1,3,0,0,0,
Warren,177,60,34,6,17,6,2,6,3,2,7,0,0,0,
Washington,174,40,41,14,10,14,6,4,4,1,1,0,0,0,
Wayne,195,40,44,19,10,13,4,1,10,8,1,0,0,0,
White,208,37,39,8,13,8,5,3,5,7,2,0,0,0,
Whiteside,656,165,158,32,35,28,16,19,14,13,4,0,0,0,
Will,4502,1032,1068,255,245,260,171,115,118,81,45,0,0,0,
Williamson,780,145,173,45,69,38,32,19,26,18,26,0,0,0,
Winnebago,2893,661,652,140,170,209,106,67,89,28,31,0,0,0,
Woodford,377,71,87,15,25,9,25,12,7,5,8,0,0,0,
ILLINOIS,109726,25393,24147,6021,6017,5734,4021,2927,2566,2402,1815,0,0,0,
Adams,814,193,170,39,26,44,48,24,21,24,28,0,0,0,
Alexander,96,21,20,8,1,12,4,4,4,2,3,0,0,0,
Bond,174,48,41,6,10,5,7,4,3,2,3,0,0,0,
Boone,431,95,85,22,26,29,17,15,10,5,3,0,0,0,
Brown,71,13,18,7,2,2,2,2,2,0,2,0,0,0,
Bureau,387,94,95,21,20,27,8,4,15,18,8,0,0,0,
Calhoun,51,12,14,1,3,4,4,2,2,0,1,0,0,0,
Carroll,194,44,52,11,9,13,2,6,5,3,1,0,0,0,
Cass,138,38,19,7,6,10,2,5,7,5,1,0,0,0,
Champaign,1368,281,310,53,85,68,74,25,23,34,18,0,0,0,
Christian,408,99,91,16,23,23,8,14,14,8,8,0,0,0,
Clark,185,53,40,13,7,7,8,4,4,2,2,0,0,0,
Clay,155,37,28,6,6,11,4,5,14,6,0,0,0,0,
Clinton,382,111,61,25,20,22,11,6,13,9,8,0,0,0,
Coles,464,125,75,30,25,30,14,13,12,15,8,0,0,0,
Cook,41266,9906,9159,2506,2258,1685,1352,1161,951,908,621,0,0,0,
Chicago,19742,4784,4268,1195,1261,734,538,617,452,436,313,0,0,0,
Cook,21524,5122,4891,1311,997,951,814,544,499,472,308,0,0,0,
Crawford,225,53,47,10,14,14,11,2,3,6,5,0,0,0,
Cumberland,127,29,34,8,3,9,3,1,1,2,4,759,159,167,
DeWitt,203,48,36,9,11,23,11,4,3,2,7,0,0,0,
Douglas,232,54,54,14,12,17,13,2,8,1,4,0,0,0,
Edgar,228,45,37,12,11,28,5,7,6,4,2,0,0,0,
Edwards,82,24,17,7,4,5,0,1,5,3,0,0,0,0,
Effingham,363,92,49,24,13,26,23,13,6,9,5,0,0,0,
Fayette,227,47,56,9,10,15,11,14,4,7,5,0,0,0,
Ford,203,54,38,7,7,15,20,6,3,2,3,0,0,0,
Franklin,515,115,114,23,32,41,30,16,5,15,13,0,0,0,
Fulton,467,99,97,19,26,34,26,12,11,12,5,0,0,0,
Gallatin,85,23,22,4,3,5,6,0,2,4,2,0,0,0,
Greene,164,37,28,7,18,16,5,11,1,7,3,0,0,0,
Grundy,429,84,105,11,15,39,10,15,6,15,8,0,0,0,
Hamilton,117,32,24,6,4,12,6,3,3,2,1,0,0,0,
Hancock,222,56,40,10,12,12,7,7,4,5,7,0,0,0,
Hardin,80,18,23,1,3,6,2,3,4,1,1,0,0,0,
Henderson,88,16,22,5,5,8,4,2,0,1,2,0,0,0,
Henry,522,137,104,24,18,43,16,15,13,14,9,0,0,0,
Iroquois,386,93,92,13,23,27,21,7,12,8,9,0,0,0,
Jackson,499,113,104,24,35,28,12,21,13,11,11,0,0,0,
Jasper,100,34,13,6,5,9,5,4,1,3,1,0,0,0,
Jefferson,472,121,94,22,29,35,26,8,10,13,4,0,0,0,
Jersey,303,73,44,14,25,22,17,14,8,5,6,0,0,0,
Jo Daviess,259,63,76,13,16,8,9,5,5,1,4,0,0,0,
Johnson,149,29,38,4,8,13,2,4,3,2,9,0,0,0,
Kane,3351,679,786,186,187,148,84,89,88,76,66,0,0,0,
Kankakee,1225,273,272,75,76,57,66,26,31,41,21,0,0,0,
Kendall,561,113,143,33,43,30,12,18,15,11,5,0,0,0,
Knox,670,166,148,32,23,66,31,17,10,17,13,0,0,0,
Lake,4693,932,1165,216,235,227,192,145,97,74,89,0,0,0,
LaSalle,1354,317,281,53,95,85,69,39,27,38,13,0,0,0,
Lawrence,194,46,31,8,8,11,14,8,7,4,6,0,0,0,
Lee,392,90,96,27,17,32,17,8,8,9,5,0,0,0,
Livingston,456,107,87,25,24,33,32,11,9,9,6,0,0,0,
Logan,331,57,69,15,18,34,22,10,10,11,7,316,74,71,
McHenry,2194,483,539,112,185,108,74,76,38,31,36,0,0,0,
McLean,1217,289,273,42,80,71,78,22,18,23,16,0,0,0,
Macon,1256,248,268,77,54,64,43,26,36,35,25,0,0,0,
Macoupin,573,143,132,39,31,29,17,14,8,8,11,0,0,0,
Madison,2944,742,605,158,203,151,149,71,61,67,43,0,0,0,
Marion,534,141,125,17,28,44,21,9,20,8,16,0,0,0,
Marshall,185,44,47,15,8,4,9,3,4,6,4,0,0,0,
Mason,204,38,49,8,10,16,12,9,9,4,4,0,0,0,
Massac,217,57,36,13,9,19,14,3,11,4,3,0,0,0,
Menard,139,28,28,4,7,9,1,5,4,4,4,0,0,0,
Mercer,203,42,49,14,8,14,5,10,3,2,2,0,0,0,
Monroe,302,73,56,23,10,8,7,9,9,7,10,0,0,0,
Montgomery,354,80,79,17,20,27,24,6,8,7,4,0,0,0,
Morgan,396,128,93,18,22,18,5,8,8,3,8,0,0,0,
Moultrie,172,26,31,7,6,16,9,4,5,10,2,0,0,0,
Ogle,541,125,123,43,28,44,33,10,15,2,4,0,0,0,
Peoria,1848,371,387,92,118,118,55,43,33,61,35,0,0,0,
Perry,237,55,48,12,12,14,8,6,13,6,7,0,0,0,
Piatt,181,45,32,12,12,13,8,4,1,4,4,0,0,0,
Pike,216,39,41,14,10,25,0,8,3,7,8,0,0,0,
Pope,62,20,16,0,3,6,1,2,2,3,2,0,0,0,
Pulaski,67,22,14,1,1,5,3,1,3,2,1,0,0,0,
Putnam,68,20,11,5,6,6,2,2,0,5,2,0,0,0,
Randolph,371,91,69,31,22,26,6,11,10,7,7,0,0,0,
Richland,206,51,31,7,9,16,0,6,11,8,4,0,0,0,
Rock Island,1633,400,333,65,74,104,41,27,38,41,38,0,0,0,
St. Clair,2674,624,533,140,162,168,80,83,72,48,72,0,0,0,
Saline,395,62,88,21,18,38,8,7,20,16,11,0,0,0,
Sangamon,2059,440,426,108,121,94,60,55,33,48,45,0,0,0,
Schuyler,89,24,24,7,5,3,0,2,0,6,0,0,0,0,
Scott,65,11,18,2,4,3,1,1,2,4,0,0,0,0,
Shelby,227,65,43,13,11,10,5,10,5,3,2,0,0,0,
Stark,73,15,15,2,9,4,4,2,2,1,2,0,0,0,
Stephenson,575,109,123,27,37,34,24,29,17,12,8,0,0,0,
Tazewell,1404,357,304,60,68,78,52,42,21,34,16,226,59,53,
Vermilion,1008,230,215,54,62,95,14,36,31,21,14,0,0,0,
Wabash,127,20,32,6,5,11,6,6,5,0,4,0,0,0,
Warren,178,50,34,13,7,16,4,2,2,2,2,0,0,0,
Washington,140,41,26,6,9,7,5,2,0,4,3,0,0,0,
Wayne,204,53,39,12,13,15,4,6,5,1,2,0,0,0,
White,253,62,51,6,9,25,18,2,13,6,6,0,0,0,
Whiteside,716,198,132,34,20,59,35,14,11,16,9,0,0,0,
Will,4776,1073,1094,267,254,257,157,117,130,89,74,0,0,0,
Williamson,807,153,166,32,41,61,25,23,23,20,35,0,0,0,
Winnebago,3056,689,661,145,196,196,159,64,88,45,33,0,0,0,
Woodford,402,94,84,18,16,24,32,9,4,16,4,0,0,0,
ILLINOIS,110012,25747,23877,6013,5853,5639,4029,2879,2644,2562,1,790,0,0,
Adams,871,181,162,51,48,56,49,9,20,18,26,0,0,0,
Alexande r,86,22,18,4,1,8,5,5,1,0,1,0,0,0,
Bond,162,38,36,9,13,8,7,1,5,3,479,117,101,27,
Clinton,353,88,79,21,20,20,16,6,8,8,520,110,98,26,
Suburban Coo k,2143,6,5320,4854,92,7,1267,878,716,525,574,51,8,300,
Crawford,217,58,51,7,11,15,11,4,6,2,5,0,0,0,
Grund y,414,84,92,24,21,23,23,24,7,3,3,0,0,0,
Hamilton,101,23,24,3,8,7,3,4,3,4,205,42,45,16,
Iroquois,404,101,85,28,17,26,21,13,9,7,520,101,115,36,
Jo Daviess,235,57,53,9,13,9,12,5,7,3,151,29,33,11,
Mercer,217,48,54,17,5,10,6,6,5,2,0,0,0,0,
Monroe,310,78,56,11,10,24,6,7,8,11,0,0,0,0,
Morgan,431,156,87,25,18,29,6,4,3,15,191,52,32,11,
Piatt,153,35,33,7,4,14,7,7,2,5,2,0,0,0,
Pike,189,51,41,7,8,9,2,9,1,2,50,13,6,4,
Saline,361,72,68,17,22,31,10,8,13,13,2022,461,441,110,
Scott,48,9,16,2,2,1,1,2,0,2,0,0,0,0,
Williamson,759,143,163,36,30,60,13,15,22,17,23,0,0,0,
Winnebago,3062,701,628,242,147,203,137,67,70,55,372,82,91,18,
ILLINOIS,108937,25655,23875,6144,6086,5532,3949,2822,2548,2106,1746,0,0,0,
Adams,786,150,191,39,26,49,36,23,15,12,17,0,0,0,
Alexander,111,20,26,6,6,6,2,1,5,5,5,0,0,0,
Bond,178,49,36,7,14,7,6,7,3,3,4,0,0,0,
Boone,395,96,98,16,17,24,25,11,3,2,5,0,0,0,
Brown,53,12,14,5,2,2,0,0,1,0,2,0,0,0,
Bureau,432,109,99,28,28,20,14,2,13,7,6,0,0,0,
Calhoun,62,15,20,1,2,3,8,2,0,1,1,0,0,0,
Carroll,184,45,43,10,7,9,5,7,3,1,1,0,0,0,
Cass,148,37,29,6,12,12,0,2,2,3,2,0,0,0,
Champaign,1390,303,265,48,120,68,77,34,29,23,23,0,0,0,
Christian,449,125,95,12,13,38,12,9,11,10,5,0,0,0,
Clark,204,52,32,13,9,12,6,8,3,2,4,0,0,0,
Clay,156,43,30,14,4,7,3,7,7,2,3,0,0,0,
Clinton,341,106,71,19,14,18,11,7,6,8,10,0,0,0,
Coles,528,117,99,23,20,43,18,11,5,8,6,0,0,0,
Cook,40771,10083,9001,2469,2352,1519,1219,1116,1000,831,572,0,0,0,
Chicago,19630,4847,4175,1195,1333,702,446,601,493,422,305,0,0,0,
Suburban Cook,21141,5236,4826,1274,1019,817,773,515,507,409,267,0,0,0,
Crawford,194,51,47,6,6,12,4,4,5,5,2,0,0,0,
Cumberland,111,26,18,11,4,9,0,5,3,5,1,0,0,0,
DeKalb,745,164,176,35,42,37,36,15,15,20,4,0,0,0,
DeWitt,221,54,45,8,9,17,21,6,2,9,5,0,0,0,
Douglas,184,47,42,7,13,13,7,6,3,4,4,0,0,0,
Edgar,246,68,46,7,10,11,7,7,9,6,2,0,0,0,
Edwards,78,28,16,4,2,8,1,0,2,2,5,0,0,0,
Effingham,370,76,69,22,14,30,21,20,7,3,8,0,0,0,
Fayette,226,52,55,8,9,18,16,6,7,8,5,0,0,0,
Ford,175,37,34,12,6,13,5,5,1,4,1,0,0,0,
Franklin,531,96,112,29,32,62,22,20,12,11,10,0,0,0,
Fulton,499,117,111,22,18,27,31,12,7,11,9,0,0,0,
Gallatin,72,17,15,3,4,9,1,2,6,1,1,0,0,0,
Grundy,451,93,108,20,30,30,17,18,13,10,4,0,0,0,
Hamilton,110,25,24,6,4,13,2,4,3,1,1,0,0,0,
Hancock,202,55,42,15,11,11,7,3,5,4,3,0,0,0,
Hardin,58,12,12,3,3,13,0,0,0,2,1,0,0,0,
Henderson,87,28,14,2,10,6,4,4,1,0,2,0,0,0,
Henry,538,146,119,29,31,29,12,14,4,8,4,0,0,0,
Iroquois,364,91,82,24,24,16,21,13,6,5,2,0,0,0,
Jackson,482,113,89,15,33,36,13,9,13,11,15,0,0,0,
Jasper,97,26,15,2,5,7,2,3,3,3,1,0,0,0,
Jefferson,463,102,100,30,25,36,28,9,10,12,10,0,0,0,
Jersey,296,82,63,11,15,13,13,17,9,11,2,0,0,0,
Jo Daviess,225,60,63,7,17,8,20,5,3,1,2,0,0,0,
Johnson,129,27,31,3,4,16,0,6,1,3,7,0,0,0,
Kane,3322,695,774,229,187,134,94,89,84,82,57,0,0,0,
Kankakee,1141,333,239,60,67,47,50,22,26,22,25,0,0,0,
Kendall,643,124,167,26,43,31,24,14,19,13,6,0,0,0,
Knox,701,161,133,38,30,59,46,24,16,14,10,0,0,0,
Lake,4837,1006,1105,236,250,228,219,129,131,81,97,0,0,0,
LaSalle,1329,302,300,85,76,70,62,26,29,24,20,0,0,0,
Lawrence,187,40,45,10,9,13,15,2,7,5,2,0,0,0,
Lee,402,102,103,19,23,20,16,4,11,4,6,0,0,0,
Livingston,449,105,89,29,24,22,25,13,7,14,9,0,0,0,
Logan,335,76,78,14,10,21,22,3,6,8,8,0,0,0,
McDonough,336,83,57,33,19,20,8,5,9,7,3,0,0,0,
McHenry,2141,471,527,112,140,115,83,76,33,20,29,0,0,0,
McLean,1225,271,269,51,75,100,88,24,25,9,19,0,0,0,
Macon,1282,260,277,66,56,74,60,22,23,35,43,0,0,0,
Macoupin,553,140,112,27,26,40,18,9,10,13,5,0,0,0,
Madison,2960,717,579,216,209,149,129,78,59,55,71,0,0,0,
Marion,486,121,99,27,26,40,16,13,20,9,5,0,0,0,
Marshall,154,52,25,7,4,10,12,1,1,6,2,0,0,0,
Mason,190,38,43,9,8,16,8,6,4,3,3,0,0,0,
Massac,192,22,41,8,8,20,15,5,2,5,7,0,0,0,
Mercer,182,50,39,13,6,17,8,3,4,1,2,0,0,0,
Monroe,329,77,69,25,16,23,9,4,7,6,4,0,0,0,
Montgomery,381,91,73,22,19,24,23,4,7,12,10,0,0,0,
Morgan,426,131,95,19,15,31,9,8,5,10,6,0,0,0,
Moultrie,212,45,34,9,11,11,5,9,1,5,2,0,0,0,
Ogle,542,111,121,31,29,41,38,10,8,3,6,0,0,0,
Peoria,1836,420,412,109,105,106,83,34,36,35,30,0,0,0,
Perry,237,59,51,11,10,16,7,7,13,7,0,0,0,0,
Piatt,175,35,34,6,12,15,5,4,2,1,3,0,0,0,
Pike,213,38,54,10,10,14,5,1,3,3,5,0,0,0,
Pope,47,12,13,1,5,2,1,3,1,1,0,0,0,0,
Pulaski,90,22,24,6,9,1,1,2,1,0,1,0,0,0,
Putnam,54,11,19,3,3,5,1,0,1,0,0,0,0,0,
Randolph,361,83,70,15,22,25,7,13,12,6,4,0,0,0,
Richland,193,46,35,10,4,18,2,8,7,11,2,0,0,0,
Rock Island,1584,383,320,69,87,99,43,43,53,28,40,0,0,0,
St. Clair,2617,614,508,163,147,175,81,68,59,35,58,0,0,0,
Saline,367,76,63,22,19,32,6,15,10,19,7,0,0,0,
Sangamon,2000,412,434,76,118,110,68,46,42,48,60,0,0,0,
Schuyler,75,19,9,6,4,6,0,4,1,5,0,0,0,0,
Scott,66,20,15,2,3,3,1,1,4,1,1,0,0,0,
Shelby,264,59,69,12,21,8,8,7,5,10,3,0,0,0,
Stark,65,19,11,3,5,4,7,1,2,0,1,0,0,0,
Stephenson,570,120,108,26,37,31,22,17,14,11,5,0,0,0,
Tazewell,1409,273,314,56,66,99,73,41,36,30,35,0,0,0,
Union,244,66,40,13,10,14,5,0,13,12,6,0,0,0,
Vermilion,997,201,225,50,59,84,40,34,18,15,13,0,0,0,
Wabash,132,22,29,8,8,10,4,0,2,3,1,0,0,0,
Warren,197,53,42,10,13,18,6,3,2,4,0,0,0,0,
Washington,133,38,24,10,8,6,2,3,4,4,2,0,0,0,
Wayne,225,52,42,12,6,19,3,6,10,4,3,0,0,0,
White,229,41,34,14,13,25,5,4,12,7,5,0,0,0,
Whiteside,661,203,141,32,22,58,21,12,16,11,3,0,0,0,
Williamson,717,142,155,39,27,64,11,22,17,11,33,0,0,0,
Winnebago,3002,733,609,168,220,193,129,66,72,39,34,0,0,0,
Woodford,393,105,77,30,17,24,27,9,5,6,2,0,0,0,
ILLINOIS,132701,27466,24020,15715,6762,5432,4639,3487,2651,2430,0,0,0,0,7159
Adams,877,156,141,70,38,62,24,20,22,23,0,0,0,0,45
Alexander,114,18,25,11,6,5,6,1,5,3,0,0,0,0,4
Bond,200,67,37,11,11,12,7,5,4,3,0,0,0,0,9
Boone,488,94,83,57,24,32,24,9,9,9,0,0,0,0,29
Brown,70,15,16,9,5,0,0,3,2,2,0,0,0,0,3
Bureau,476,103,91,57,22,25,15,4,11,10,0,0,0,0,38
Calhoun,68,18,13,5,6,2,2,2,2,2,0,0,0,0,4
Carroll,255,56,44,26,10,20,3,3,3,4,0,0,0,0,17
Cass,163,37,26,27,11,6,3,1,4,4,0,0,0,0,8
Champaign,1517,328,280,66,75,57,70,33,29,27,0,0,0,0,113
Christian,481,94,74,61,22,24,8,8,7,10,0,0,0,0,25
Clark,228,53,37,18,11,15,6,8,3,2,0,0,0,0,9
Clay,194,51,26,29,8,13,3,4,3,2,0,0,0,0,7
Clinton,420,114,67,41,24,20,14,10,9,7,0,0,0,0,15
Coles,623,125,110,49,19,36,26,11,13,16,0,0,0,0,27
Cook,52037,10915,8863,7636,2714,1556,1473,1476,1051,1011,0,0,0,0,3044
Chicago,25769,5350,4071,4125,1369,708,528,816,499,479,0,0,0,0,1842
Suburban Cook,26268,5565,4792,3511,1345,848,945,660,552,532,0,0,0,0,1202
Crawford,235,61,52,29,9,9,6,4,11,2,0,0,0,0,6
Cumberland,133,27,23,20,5,9,3,5,4,2,0,0,0,0,8
DeKalb,897,181,171,56,53,32,39,26,8,17,0,0,0,0,46
DeWitt,243,60,42,21,9,18,18,4,2,8,0,0,0,0,12
Douglas,226,44,38,29,6,14,13,4,4,4,0,0,0,0,11
Edgar,287,57,62,36,9,20,2,7,7,2,0,0,0,0,14
Edwards,93,25,22,10,4,4,0,3,2,4,0,0,0,0,6
Effingham,445,64,86,44,16,23,36,19,5,11,0,0,0,0,14
Fayette,273,50,44,34,17,16,20,7,4,7,0,0,0,0,11
Ford,236,49,40,24,18,9,10,2,4,3,0,0,0,0,6
Franklin,614,110,101,60,26,45,30,26,12,14,0,0,0,0,30
Fulton,547,115,120,32,32,36,29,14,10,8,0,0,0,0,18
Gallatin,83,20,13,8,6,6,3,2,4,2,0,0,0,0,0
Grundy,544,110,101,44,26,34,17,17,10,9,0,0,0,0,39
Hamilton,131,19,22,11,4,10,7,8,2,2,0,0,0,0,3
Hancock,274,65,41,32,13,11,7,6,7,5,0,0,0,0,16
Hardin,73,16,8,10,2,8,1,2,1,1,0,0,0,0,1
Henderson,107,26,15,15,2,9,1,7,1,0,0,0,0,0,4
Henry,689,183,125,63,36,36,23,16,9,8,0,0,0,0,28
Iroquois,443,98,83,44,25,21,23,10,7,6,0,0,0,0,23
Jackson,616,137,114,68,25,30,16,10,15,16,0,0,0,0,32
Jasper,102,18,23,13,5,2,2,4,3,0,0,0,0,0,5
Jefferson,559,118,100,65,31,30,24,19,8,13,0,0,0,0,28
Jersey,324,77,60,36,12,15,20,11,12,9,0,0,0,0,17
Jo Daviess,303,76,57,23,13,18,14,4,3,2,0,0,0,0,20
Johnson,164,30,27,14,6,17,4,4,1,1,0,0,0,0,11
Kane,4190,782,835,512,269,145,101,108,76,62,0,0,0,0,200
Kankakee,1354,370,242,124,66,49,65,31,33,19,0,0,0,0,81
Kendall,768,147,160,74,51,30,22,16,15,10,0,0,0,0,34
Knox,816,172,139,106,27,58,52,20,14,10,0,0,0,0,28
Lake,5738,1106,1113,698,267,197,230,161,119,99,0,0,0,0,278
LaSalle,1524,326,287,180,64,77,94,40,22,35,0,0,0,0,64
Lawrence,213,32,32,30,10,11,13,3,7,6,0,0,0,0,13
Lee,458,101,95,64,20,21,11,4,11,4,0,0,0,0,19
Livingston,509,111,90,54,22,26,23,17,11,5,0,0,0,0,29
Logan,415,71,73,47,13,21,33,8,7,12,0,0,0,0,18
McDonough,370,88,67,31,20,16,12,8,5,12,0,0,0,0,16
McHenry,2576,540,569,234,106,100,91,69,49,38,0,0,0,0,152
McLean,1429,337,260,110,54,81,125,33,21,21,0,0,0,0,78
Macon,1449,299,273,142,51,67,54,24,22,48,0,0,0,0,74
Macoupin,663,139,108,64,36,26,30,19,16,9,0,0,0,0,35
