County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes,COVID_19
Madison,3387,723,592,294,232,173,133,79,67,67,0,0,0,0,229
Marion,651,130,116,50,36,59,30,18,17,11,0,0,0,0,27
Marshall,172,46,32,8,9,5,8,3,0,3,0,0,0,0,16
Mason,235,44,54,33,8,9,10,6,4,5,0,0,0,0,10
Massac,240,41,37,21,13,30,19,6,8,2,0,0,0,0,6
Mercer,221,34,42,16,11,17,10,11,3,5,0,0,0,0,6
Monroe,372,76,76,45,13,15,10,9,8,5,0,0,0,0,15
Montgomery,423,82,72,29,29,22,19,9,10,11,0,0,0,0,21
Morgan,485,112,90,54,16,20,20,7,6,16,0,0,0,0,21
Moultrie,216,41,42,20,7,9,5,10,3,4,0,0,0,0,13
Ogle,613,122,137,52,29,42,29,20,15,6,0,0,0,0,23
Peoria,2109,419,422,145,96,103,86,51,42,36,0,0,0,0,144
Perry,266,53,41,29,8,14,15,9,10,5,0,0,0,0,12
Piatt,189,50,40,9,5,7,5,4,1,1,0,0,0,0,6
Pike,255,37,57,39,8,13,3,4,3,4,0,0,0,0,12
Pope,53,10,13,2,3,4,2,0,2,1,0,0,0,0,3
Pulaski,79,18,11,6,6,4,5,4,3,2,0,0,0,0,2
Putnam,59,15,17,1,3,0,0,0,1,1,0,0,0,0,7
Randolph,432,86,85,51,22,25,12,14,2,4,0,0,0,0,23
Richland,267,54,42,29,11,27,1,5,12,9,0,0,0,0,14
Rock Island,1949,392,341,192,64,97,55,84,35,21,0,0,0,0,87
St. Clair,3167,579,570,322,194,159,114,98,60,36,0,0,0,0,203
Saline,405,74,75,41,16,42,12,15,14,6,0,0,0,0,16
Sangamon,2227,490,428,190,90,105,59,57,31,37,0,0,0,0,132
Schuyler,98,18,12,8,10,6,0,3,0,4,0,0,0,0,4
Scott,68,18,12,4,2,3,1,0,3,1,0,0,0,0,1
Shelby,277,60,53,30,13,13,6,3,8,8,0,0,0,0,17
Stark,87,18,15,12,1,3,4,2,0,3,0,0,0,0,6
Stephenson,685,131,127,64,32,40,25,21,19,18,0,0,0,0,42
Tazewell,1675,351,294,111,74,109,77,49,30,40,0,0,0,0,73
Union,284,64,44,21,13,15,10,4,6,15,0,0,0,0,13
Vermilion,1105,212,207,84,51,79,38,51,25,18,0,0,0,0,55
Wabash,159,30,29,15,5,11,7,5,5,4,0,0,0,0,7
Warren,256,70,52,31,9,13,9,10,2,2,0,0,0,0,8
Washington,183,35,28,17,7,10,4,8,3,3,0,0,0,0,11
Wayne,245,44,37,31,10,15,9,5,4,3,0,0,0,0,11
White,254,44,40,30,9,18,7,5,10,3,0,0,0,0,13
Whiteside,819,169,153,148,42,37,21,12,18,7,0,0,0,0,28
Williamson,872,153,164,76,40,58,17,17,25,22,0,0,0,0,44
Winnebago,3489,732,642,324,170,188,148,71,86,52,0,0,0,0,226
Woodford,449,107,83,46,20,23,30,7,4,10,0,0,0,0,19
ILLINOIS,125102,26282,23613,11297,6768,4927,4028,3388,2648,1779,0,0,0,0,7616
Adams,936,177,184,103,36,41,21,23,19,9,0,0,0,0,32
Alexander,104,21,21,12,5,5,4,2,3,3,0,0,0,0,5
Bond,220,52,37,28,16,7,4,3,4,3,0,0,0,0,14
Boone,502,113,117,38,19,27,9,18,12,14,0,0,0,0,21
Brown,67,16,6,7,7,6,0,1,0,0,0,0,0,0,0
Bureau,447,92,86,51,24,23,13,6,13,8,0,0,0,0,34
Calhoun,69,16,16,5,2,1,2,4,3,1,0,0,0,0,7
Carroll,215,55,54,13,11,12,2,6,2,1,0,0,0,0,8
Cass,148,36,25,16,5,7,2,2,2,0,0,0,0,0,8
Champaign,1643,332,305,128,78,59,82,32,33,18,0,0,0,0,108
Christian,501,101,103,40,18,25,14,10,19,7,0,0,0,0,32
Clark,235,51,38,30,10,13,9,5,4,5,0,0,0,0,8
Clay,182,32,39,19,11,11,3,4,6,1,0,0,0,0,6
Clinton,365,99,60,35,16,20,16,8,7,6,0,0,0,0,22
Coles,596,106,91,64,19,40,14,12,9,8,0,0,0,0,34
Cook,47077,10259,8720,4196,2657,1317,1323,1308,976,622,0,0,0,0,3285
Chicago,22882,4974,3946,2143,1263,579,433,728,461,342,0,0,0,0,1946
Suburban Cook,24195,5285,4774,2053,1394,738,890,580,515,280,0,0,0,0,1339
Crawford,238,45,54,27,12,12,6,2,3,1,0,0,0,0,9
Cumberland,157,29,30,19,8,13,4,8,3,1,0,0,0,0,4
DeKalb,894,180,172,70,43,41,34,23,14,11,0,0,0,0,57
DeWitt,229,63,40,20,8,8,16,4,4,8,0,0,0,0,5
Douglas,247,62,49,17,12,12,4,6,5,3,0,0,0,0,8
Edgar,278,53,43,42,10,10,7,7,8,8,0,0,0,0,13
Edwards,89,17,20,17,11,2,2,1,2,0,0,0,0,0,3
Effingham,430,68,79,54,22,14,19,15,5,2,0,0,0,0,29
Fayette,244,44,47,30,13,13,13,6,6,2,0,0,0,0,10
Ford,236,55,43,20,11,9,7,5,6,9,0,0,0,0,14
Franklin,643,114,140,88,26,42,13,22,9,15,0,0,0,0,28
Fulton,514,106,93,55,20,37,14,12,14,3,0,0,0,0,18
Gallatin,91,24,18,8,4,7,6,0,2,0,0,0,0,0,4
Grundy,527,95,108,55,33,27,19,19,9,9,0,0,0,0,25
Hamilton,103,21,19,18,3,9,4,1,1,2,0,0,0,0,5
Hancock,238,53,37,24,12,11,5,10,12,1,0,0,0,0,11
Hardin,83,20,16,11,4,5,1,1,1,0,0,0,0,0,3
Henderson,109,25,23,10,3,5,2,5,3,2,0,0,0,0,7
Henry,600,139,113,41,24,29,22,12,14,8,0,0,0,0,43
Iroquois,418,89,88,43,21,14,19,19,5,5,0,0,0,0,23
Jackson,612,135,111,65,25,21,16,17,15,8,0,0,0,0,30
Jasper,124,26,28,13,7,3,2,2,2,1,0,0,0,0,4
Jefferson,550,108,88,67,28,37,23,8,14,10,0,0,0,0,36
Jersey,317,55,56,29,13,19,11,17,14,5,0,0,0,0,20
Jo Daviess,260,55,61,18,12,7,9,7,6,2,0,0,0,0,13
Johnson,176,24,37,32,4,12,1,7,3,3,0,0,0,0,6
Kane,3908,725,787,326,256,130,122,91,91,83,0,0,0,0,231
Kankakee,1378,346,257,132,77,54,38,25,23,25,0,0,0,0,68
Kendall,782,144,169,61,36,31,17,16,26,13,0,0,0,0,46
Knox,730,158,143,73,39,47,39,19,8,13,0,0,0,0,38
Lake,5215,1034,1091,373,246,179,222,150,125,65,0,0,0,0,286
LaSalle,1435,293,304,129,62,75,73,33,13,30,0,0,0,0,86
Lawrence,197,42,41,20,12,23,3,5,3,2,0,0,0,0,5
Lee,420,94,72,39,36,15,10,7,8,7,0,0,0,0,17
Livingston,483,87,84,64,20,22,30,9,10,6,0,0,0,0,37
Logan,332,58,61,30,20,17,21,5,10,4,0,0,0,0,11
McDonough,323,66,43,32,25,18,11,8,8,3,0,0,0,0,14
McHenry,2539,556,570,183,127,102,75,60,58,43,0,0,0,0,120
McLean,1413,291,284,145,60,70,79,34,26,17,0,0,0,0,69
Macon,1434,289,261,136,60,59,44,30,28,33,0,0,0,0,63
Macoupin,647,133,119,70,43,33,14,20,16,5,0,0,0,0,38
Madison,3381,717,586,319,239,162,89,101,62,46,0,0,0,0,228
Marion,594,119,109,67,31,50,14,13,22,10,0,0,0,0,23
Marshall,184,34,23,17,13,8,11,3,3,3,0,0,0,0,11
Mason,222,49,44,20,11,10,5,8,2,2,0,0,0,0,16
Massac,238,34,37,29,14,24,20,9,5,2,0,0,0,0,8
Mercer,206,50,35,16,9,15,4,4,6,2,0,0,0,0,14
Monroe,358,86,63,35,27,11,4,17,6,6,0,0,0,0,24
Montgomery,460,68,82,69,32,32,14,7,7,3,0,0,0,0,37
Morgan,438,97,86,31,15,29,14,10,6,7,0,0,0,0,17
Moultrie,216,45,37,19,7,18,9,9,5,0,0,0,0,0,8
Ogle,592,119,110,49,17,42,30,26,15,11,0,0,0,0,29
Peoria,2150,449,384,212,97,103,82,49,33,31,0,0,0,0,132
Perry,302,57,50,40,12,20,6,10,7,7,0,0,0,0,19
Piatt,209,47,42,10,6,11,10,8,2,7,0,0,0,0,14
Pike,236,43,43,32,13,7,2,13,4,1,0,0,0,0,12
Pope,72,20,12,12,2,5,0,0,3,1,0,0,0,0,6
Pulaski,107,21,13,16,6,6,5,3,6,1,0,0,0,0,5
Putnam,71,15,16,8,5,0,1,0,1,1,0,0,0,0,7
Randolph,444,97,86,50,23,24,14,27,5,6,0,0,0,0,28
Richland,266,59,44,42,17,10,2,3,6,5,0,0,0,0,13
Rock Island,1776,367,323,160,78,93,50,59,40,29,0,0,0,0,70
St. Clair,3076,532,507,295,210,153,108,124,63,31,0,0,0,0,225
Saline,423,67,61,53,16,31,5,21,10,4,0,0,0,0,17
Sangamon,2119,458,427,141,75,109,60,43,44,38,0,0,0,0,144
Schuyler,108,21,23,9,11,6,1,5,1,3,0,0,0,0,6
Scott,69,20,11,6,3,5,3,0,0,1,0,0,0,0,4
Shelby,321,56,67,48,10,13,10,11,2,4,0,0,0,0,13
Stark,97,25,17,8,6,6,3,2,1,1,0,0,0,0,5
Stephenson,654,98,122,93,31,29,13,25,18,10,0,0,0,0,39
Tazewell,1718,367,281,165,93,85,75,46,34,22,0,0,0,0,102
Union,278,59,51,32,19,12,6,7,8,4,0,0,0,0,12
Vermilion,1186,194,226,157,51,90,29,39,18,11,0,0,0,0,64
Wabash,161,28,34,15,8,9,8,3,9,1,0,0,0,0,7
Warren,216,49,47,28,12,15,9,7,3,5,0,0,0,0,9
Washington,167,31,31,21,17,8,5,1,4,2,0,0,0,0,9
Wayne,242,51,41,29,13,9,6,5,5,3,0,0,0,0,14
White,253,55,37,22,14,16,10,2,4,3,0,0,0,0,10
Whiteside,757,162,139,79,34,35,17,12,20,11,0,0,0,0,37
Williamson,889,154,150,97,29,67,23,21,35,20,0,0,0,0,46
Winnebago,3541,765,621,303,187,191,148,82,84,54,0,0,0,0,264
Woodford,421,90,72,58,25,13,24,11,4,4,0,0,0,0,14
ILLINOIS,122977,26791,23622,7482,6622,5324,4238,3526,2879,1969,0,0,0,0,7149
Adams,837,164,156,45,42,61,18,28,20,11,0,0,0,0,53
Alexander,96,18,21,4,4,9,1,6,1,0,0,0,0,0,7
Bond,193,53,43,8,10,6,3,7,3,1,0,0,0,0,16
Boone,502,115,95,28,30,28,13,12,6,5,0,0,0,0,27
Brown,56,12,8,2,3,4,2,2,0,0,0,0,0,0,3
Bureau,425,94,84,36,24,25,14,2,16,6,0,0,0,0,28
Calhoun,87,19,11,7,5,6,3,6,0,0,0,0,0,0,7
Carroll,240,58,56,10,11,8,4,7,3,1,0,0,0,0,16
Cass,128,20,26,2,11,8,2,7,1,7,0,0,0,0,6
Champaign,1524,330,271,116,66,63,71,35,28,26,0,0,0,0,72
Champaign-Urbana,922,214,153,72,39,41,41,21,13,18,0,0,0,0,39
Remainder of county,602,116,118,44,27,22,30,14,15,8,0,0,0,0,33
Christian,447,122,79,10,20,31,10,5,9,14,0,0,0,0,33
Clark,217,50,46,12,6,10,8,7,6,0,0,0,0,0,10
Clay,190,57,41,10,10,9,7,2,7,4,0,0,0,0,13
Clinton,371,107,77,16,15,17,9,11,8,6,0,0,0,0,23
Coles,588,121,107,29,16,33,16,19,13,9,0,0,0,0,36
Cook,45837,10270,8451,3268,2578,1444,1451,1363,1080,764,0,0,0,0,2757
Chicago,22108,5018,3893,1959,1164,623,506,739,505,375,0,0,0,0,1319
Suburban Cook,23729,5252,4558,1309,1414,821,945,624,575,389,0,0,0,0,1438
Evanston,577,149,107,22,33,12,15,15,6,8,0,0,0,0,27
Oak Park,385,68,86,21,26,15,16,6,5,10,0,0,0,0,16
Skokie,570,137,115,21,28,15,30,7,18,6,0,0,0,0,37
Stickney Township,337,80,68,25,15,14,10,9,9,6,0,0,0,0,28
Remainder of county,21860,4818,4182,1220,1312,765,874,587,537,359,0,0,0,0,1330
Crawford,277,57,39,13,14,19,7,12,6,3,0,0,0,0,16
Cumberland,125,30,19,4,6,5,5,4,1,2,0,0,0,0,8
DeKalb,835,181,177,49,39,43,27,15,22,9,0,0,0,0,56
DeWitt,186,49,35,5,6,12,13,4,1,3,0,0,0,0,11
Douglas,239,42,50,17,18,8,11,3,3,8,0,0,0,0,18
Edgar,254,77,62,12,10,10,5,3,2,1,0,0,0,0,13
Edwards,76,19,20,1,2,2,5,2,4,0,0,0,0,0,6
Effingham,391,59,77,16,15,16,24,22,9,7,0,0,0,0,28
Fayette,275,46,49,13,8,9,14,5,9,10,0,0,0,0,25
Ford,195,52,29,5,11,11,9,6,5,5,0,0,0,0,13
Franklin,591,104,113,25,30,51,13,35,12,8,0,0,0,0,45
Fulton,532,105,99,20,13,38,22,14,12,8,0,0,0,0,41
Gallatin,97,23,18,3,4,7,2,1,5,2,0,0,0,0,6
Greene,198,43,35,10,12,11,5,9,6,7,0,0,0,0,17
Grundy,518,119,110,28,32,14,9,13,12,10,0,0,0,0,34
Hamilton,119,31,26,4,6,4,4,6,6,0,0,0,0,0,10
Hancock,227,56,44,13,10,14,8,7,7,3,0,0,0,0,16
Hardin,74,11,18,2,1,8,1,3,1,2,0,0,0,0,7
Henderson,83,21,21,6,2,4,7,1,2,2,0,0,0,0,2
Henry,580,132,127,19,24,40,8,14,10,11,0,0,0,0,42
Iroquois,452,110,86,23,21,32,21,18,9,7,0,0,0,0,31
Jackson,567,131,101,33,21,37,16,14,12,10,0,0,0,0,43
Jasper,134,27,31,6,9,10,5,3,2,3,0,0,0,0,6
Jefferson,506,113,105,33,13,40,26,15,11,10,0,0,0,0,30
Jersey,295,70,61,10,15,24,10,13,4,3,0,0,0,0,21
Jo Daviess,309,65,73,17,16,12,12,5,8,2,0,0,0,0,13
Johnson,162,37,30,10,3,13,5,8,2,3,0,0,0,0,6
Kane,3992,755,789,195,292,140,146,103,121,49,0,0,0,0,235
Kankakee,1231,330,218,79,77,41,40,31,29,16,0,0,0,0,59
Kendall,757,133,165,38,45,25,34,26,29,6,0,0,0,0,45
Knox,742,161,139,33,30,42,37,16,24,13,0,0,0,0,55
Lake,5433,1080,1165,282,237,201,219,142,147,89,0,0,0,0,290
LaSalle,1383,338,250,101,63,89,83,23,21,20,0,0,0,0,78
Lawrence,186,37,29,10,13,16,8,4,4,2,0,0,0,0,6
Lee,415,104,84,16,17,17,12,8,12,7,0,0,0,0,17
Livingston,497,126,87,24,25,39,20,9,7,10,0,0,0,0,37
Logan,378,75,85,17,15,27,16,9,7,9,0,0,0,0,16
McDonough,333,93,62,13,11,15,9,8,7,5,0,0,0,0,28
McHenry,2620,570,602,120,149,112,88,76,57,34,0,0,0,0,109
McLean,1433,319,278,76,68,86,84,48,29,24,0,0,0,0,78
Macoupin,676,167,123,34,41,43,20,22,17,11,0,0,0,0,29
Madison,3294,727,653,225,200,135,121,89,69,65,0,0,0,0,203
Marion,584,130,116,37,19,53,15,16,13,6,0,0,0,0,48
Marshall,182,51,32,13,9,6,8,1,5,3,0,0,0,0,11
Mason,203,51,25,12,12,9,5,4,6,4,0,0,0,0,11
Massac,235,34,41,10,12,18,27,10,3,3,0,0,0,0,9
Menard,145,29,40,3,5,7,3,3,3,1,0,0,0,0,14
Mercer,221,53,47,8,7,19,6,1,2,2,0,0,0,0,11
Monroe,368,71,72,19,17,20,10,11,10,5,0,0,0,0,28
Montgomery,384,70,90,15,25,23,13,9,6,6,0,0,0,0,23
Morgan,473,102,93,29,21,30,13,7,14,3,0,0,0,0,31
Moultrie,197,41,36,9,10,8,3,8,3,2,0,0,0,0,11
Ogle,577,125,126,24,19,38,22,20,16,6,0,0,0,0,24
Peoria,2054,427,378,164,110,93,83,52,29,29,0,0,0,0,114
Perry,274,53,61,15,12,13,13,14,9,8,0,0,0,0,13
Piatt,187,33,35,8,7,10,5,5,3,5,0,0,0,0,7
Pike,238,48,33,15,12,24,5,6,3,5,0,0,0,0,25
Pope,62,12,16,1,9,2,1,1,2,0,0,0,0,0,3
Pulaski,102,43,17,3,4,4,0,2,1,1,0,0,0,0,3
Putnam,49,13,10,3,3,4,2,1,2,0,0,0,0,0,3
Randolph,382,82,77,26,24,25,8,6,10,3,0,0,0,0,23
Richland,237,57,45,11,18,14,3,6,5,6,0,0,0,0,11
Rock Island,1733,385,301,83,83,90,49,82,40,25,0,0,0,0,90
St. Clair,2881,604,519,194,181,146,86,130,61,40,0,0,0,0,118
East Side HD,694,136,119,56,41,33,19,42,14,14,0,0,0,0,19
Remainder of county,2187,468,400,138,140,113,67,88,47,26,0,0,0,0,99
Saline,369,84,65,19,11,25,8,20,9,9,0,0,0,0,25
Sangamon,2228,480,407,140,93,107,67,60,50,45,0,0,0,0,102
Schuyler,98,23,17,7,4,6,0,1,1,1,0,0,0,0,3
Scott,69,13,16,2,2,3,3,5,2,2,0,0,0,0,5
Shelby,290,59,67,13,20,14,7,4,7,4,0,0,0,0,25
Stark,75,17,12,6,4,2,4,1,1,3,0,0,0,0,7
Stephenson,636,131,113,31,30,31,22,20,14,14,0,0,0,0,62
Union,233,55,53,9,8,21,10,11,8,3,0,0,0,0,9
Vermilion,1156,209,222,72,49,84,28,46,22,22,0,0,0,0,58
Wabash,167,28,36,3,9,15,8,3,9,2,0,0,0,0,8
Warren,208,46,40,10,10,20,5,7,9,0,0,0,0,0,11
Washington,181,39,40,12,4,12,8,6,4,5,0,0,0,0,8
Wayne,269,49,52,10,5,17,20,12,5,4,0,0,0,0,20
White,242,55,37,12,6,26,13,8,9,3,0,0,0,0,16
Whiteside,775,164,167,37,52,33,14,18,17,12,0,0,0,0,52
Will,5565,1151,1155,320,296,245,179,162,140,84,0,0,0,0,339
Williamson,886,170,150,41,41,71,15,24,29,15,0,0,0,0,70
Winnebago,3457,792,636,235,166,183,138,103,84,40,0,0,0,0,197
Woodford,448,115,82,22,24,25,32,10,9,7,0,0,0,0,22
ILLINOIS,122977,26791,23622,7482,6622,5324,4238,3526,2879,1969,0,0,0,0,7149
Adams,837,164,156,45,42,61,18,28,20,11,0,0,0,0,53
Alexander,96,18,21,4,4,9,1,6,1,0,0,0,0,0,7
Bond,193,53,43,8,10,6,3,7,3,1,0,0,0,0,16
Boone,502,115,95,28,30,28,13,12,6,5,0,0,0,0,27
Brown,56,12,8,2,3,4,2,2,0,0,0,0,0,0,3
Bureau,425,94,84,36,24,25,14,2,16,6,0,0,0,0,28
Calhoun,87,19,11,7,5,6,3,6,0,0,0,0,0,0,7
Carroll,240,58,56,10,11,8,4,7,3,1,0,0,0,0,16
Cass,128,20,26,2,11,8,2,7,1,7,0,0,0,0,6
Champaign,1524,330,271,116,66,63,71,35,28,26,0,0,0,0,72
Champaign-Urbana,922,214,153,72,39,41,41,21,13,18,0,0,0,0,39
Remainder of county,602,116,118,44,27,22,30,14,15,8,0,0,0,0,33
Christian,447,122,79,10,20,31,10,5,9,14,0,0,0,0,33
Clark,217,50,46,12,6,10,8,7,6,0,0,0,0,0,10
Clay,190,57,41,10,10,9,7,2,7,4,0,0,0,0,13
Clinton,371,107,77,16,15,17,9,11,8,6,0,0,0,0,23
Coles,588,121,107,29,16,33,16,19,13,9,0,0,0,0,36
Cook,45837,10270,8451,3268,2578,1444,1451,1363,1080,764,0,0,0,0,2757
Chicago,22108,5018,3893,1959,1164,623,506,739,505,375,0,0,0,0,1319
Suburban Cook,23729,5252,4558,1309,1414,821,945,624,575,389,0,0,0,0,1438
Evanston,577,149,107,22,33,12,15,15,6,8,0,0,0,0,27
Oak Park,385,68,86,21,26,15,16,6,5,10,0,0,0,0,16
Skokie,570,137,115,21,28,15,30,7,18,6,0,0,0,0,37
Stickney Township,337,80,68,25,15,14,10,9,9,6,0,0,0,0,28
Remainder of county,21860,4818,4182,1220,1312,765,874,587,537,359,0,0,0,0,1330
Crawford,277,57,39,13,14,19,7,12,6,3,0,0,0,0,16
Cumberland,125,30,19,4,6,5,5,4,1,2,0,0,0,0,8
DeKalb,835,181,177,49,39,43,27,15,22,9,0,0,0,0,56
DeWitt,186,49,35,5,6,12,13,4,1,3,0,0,0,0,11
Douglas,239,42,50,17,18,8,11,3,3,8,0,0,0,0,18
Edgar,254,77,62,12,10,10,5,3,2,1,0,0,0,0,13
Edwards,76,19,20,1,2,2,5,2,4,0,0,0,0,0,6
Effingham,391,59,77,16,15,16,24,22,9,7,0,0,0,0,28
Fayette,275,46,49,13,8,9,14,5,9,10,0,0,0,0,25
Ford,195,52,29,5,11,11,9,6,5,5,0,0,0,0,13
Franklin,591,104,113,25,30,51,13,35,12,8,0,0,0,0,45
Fulton,532,105,99,20,13,38,22,14,12,8,0,0,0,0,41
Gallatin,97,23,18,3,4,7,2,1,5,2,0,0,0,0,6
Greene,198,43,35,10,12,11,5,9,6,7,0,0,0,0,17
Grundy,518,119,110,28,32,14,9,13,12,10,0,0,0,0,34
Hamilton,119,31,26,4,6,4,4,6,6,0,0,0,0,0,10
Hancock,227,56,44,13,10,14,8,7,7,3,0,0,0,0,16
Hardin,74,11,18,2,1,8,1,3,1,2,0,0,0,0,7
Henderson,83,21,21,6,2,4,7,1,2,2,0,0,0,0,2
Henry,580,132,127,19,24,40,8,14,10,11,0,0,0,0,42
Iroquois,452,110,86,23,21,32,21,18,9,7,0,0,0,0,31
Jackson,567,131,101,33,21,37,16,14,12,10,0,0,0,0,43
Jasper,134,27,31,6,9,10,5,3,2,3,0,0,0,0,6
Jefferson,506,113,105,33,13,40,26,15,11,10,0,0,0,0,30
Jersey,295,70,61,10,15,24,10,13,4,3,0,0,0,0,21
Jo Daviess,309,65,73,17,16,12,12,5,8,2,0,0,0,0,13
Johnson,162,37,30,10,3,13,5,8,2,3,0,0,0,0,6
Kane,3992,755,789,195,292,140,146,103,121,49,0,0,0,0,235
Kankakee,1231,330,218,79,77,41,40,31,29,16,0,0,0,0,59
Kendall,757,133,165,38,45,25,34,26,29,6,0,0,0,0,45
Knox,742,161,139,33,30,42,37,16,24,13,0,0,0,0,55
Lake,5433,1080,1165,282,237,201,219,142,147,89,0,0,0,0,290
LaSalle,1383,338,250,101,63,89,83,23,21,20,0,0,0,0,78
Lawrence,186,37,29,10,13,16,8,4,4,2,0,0,0,0,6
Lee,415,104,84,16,17,17,12,8,12,7,0,0,0,0,17
Livingston,497,126,87,24,25,39,20,9,7,10,0,0,0,0,37
Logan,378,75,85,17,15,27,16,9,7,9,0,0,0,0,16
McDonough,333,93,62,13,11,15,9,8,7,5,0,0,0,0,28
McHenry,2620,570,602,120,149,112,88,76,57,34,0,0,0,0,109
McLean,1433,319,278,76,68,86,84,48,29,24,0,0,0,0,78
Macoupin,676,167,123,34,41,43,20,22,17,11,0,0,0,0,29
Madison,3294,727,653,225,200,135,121,89,69,65,0,0,0,0,203
Marion,584,130,116,37,19,53,15,16,13,6,0,0,0,0,48
Marshall,182,51,32,13,9,6,8,1,5,3,0,0,0,0,11
Mason,203,51,25,12,12,9,5,4,6,4,0,0,0,0,11
Massac,235,34,41,10,12,18,27,10,3,3,0,0,0,0,9
Menard,145,29,40,3,5,7,3,3,3,1,0,0,0,0,14
Mercer,221,53,47,8,7,19,6,1,2,2,0,0,0,0,11
Monroe,368,71,72,19,17,20,10,11,10,5,0,0,0,0,28
Montgomery,384,70,90,15,25,23,13,9,6,6,0,0,0,0,23
Morgan,473,102,93,29,21,30,13,7,14,3,0,0,0,0,31
Moultrie,197,41,36,9,10,8,3,8,3,2,0,0,0,0,11
Ogle,577,125,126,24,19,38,22,20,16,6,0,0,0,0,24
Peoria,2054,427,378,164,110,93,83,52,29,29,0,0,0,0,114
Perry,274,53,61,15,12,13,13,14,9,8,0,0,0,0,13
Piatt,187,33,35,8,7,10,5,5,3,5,0,0,0,0,7
Pike,238,48,33,15,12,24,5,6,3,5,0,0,0,0,25
Pope,62,12,16,1,9,2,1,1,2,0,0,0,0,0,3
Pulaski,102,43,17,3,4,4,0,2,1,1,0,0,0,0,3
Putnam,49,13,10,3,3,4,2,1,2,0,0,0,0,0,3
Randolph,382,82,77,26,24,25,8,6,10,3,0,0,0,0,23
Richland,237,57,45,11,18,14,3,6,5,6,0,0,0,0,11
Rock Island,1733,385,301,83,83,90,49,82,40,25,0,0,0,0,90
St. Clair,2881,604,519,194,181,146,86,130,61,40,0,0,0,0,118
East Side HD,694,136,119,56,41,33,19,42,14,14,0,0,0,0,19
Remainder of county,2187,468,400,138,140,113,67,88,47,26,0,0,0,0,99
Saline,369,84,65,19,11,25,8,20,9,9,0,0,0,0,25
Sangamon,2228,480,407,140,93,107,67,60,50,45,0,0,0,0,102
Schuyler,98,23,17,7,4,6,0,1,1,1,0,0,0,0,3
Scott,69,13,16,2,2,3,3,5,2,2,0,0,0,0,5
Shelby,290,59,67,13,20,14,7,4,7,4,0,0,0,0,25
Stark,75,17,12,6,4,2,4,1,1,3,0,0,0,0,7
Stephenson,636,131,113,31,30,31,22,20,14,14,0,0,0,0,62
Union,233,55,53,9,8,21,10,11,8,3,0,0,0,0,9
Vermilion,1156,209,222,72,49,84,28,46,22,22,0,0,0,0,58
Wabash,167,28,36,3,9,15,8,3,9,2,0,0,0,0,8
Warren,208,46,40,10,10,20,5,7,9,0,0,0,0,0,11
Washington,181,39,40,12,4,12,8,6,4,5,0,0,0,0,8
Wayne,269,49,52,10,5,17,20,12,5,4,0,0,0,0,20
White,242,55,37,12,6,26,13,8,9,3,0,0,0,0,16
Whiteside,775,164,167,37,52,33,14,18,17,12,0,0,0,0,52
Will,5565,1151,1155,320,296,245,179,162,140,84,0,0,0,0,339
Williamson,886,170,150,41,41,71,15,24,29,15,0,0,0,0,70
Winnebago,3457,792,636,235,166,183,138,103,84,40,0,0,0,0,197
Woodford,448,115,82,22,24,25,32,10,9,7,0,0,0,0,22
