County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,27,21,24,16,13,14,12,11,11,24,9,23,24,21,36
Alexander,7,6,2,3,2,3,6,0,2,4,0,1,6,4,2
Bond,2,5,4,5,2,6,6,4,6,4,1,7,7,4,6
Boone,13,15,11,3,7,11,6,0,18,15,0,11,24,9,26
Brown,1,3,1,0,1,0,1,0,1,2,0,0,0,0,4
Bureau,7,5,10,10,8,6,5,0,10,4,0,2,15,13,28
Calhoun,0,1,2,0,2,3,4,0,2,2,0,2,2,2,6
Carroll,4,5,2,2,2,1,5,0,4,6,0,7,3,2,8
Cass,1,2,0,4,1,2,2,0,6,5,0,2,3,2,4
Champaign,29,37,36,26,37,34,18,0,14,25,0,34,70,82,224
Chicago,0,624,504,455,616,572,577,0,634,617,0,601,528,433,1012
Christian,6,8,12,11,12,8,8,0,9,14,0,9,8,14,20
Clark,7,5,5,2,9,3,7,0,8,4,0,8,6,9,16
Clay,4,7,1,4,6,4,6,0,3,5,0,7,3,3,14
Clinton,8,10,17,6,6,13,7,9,10,6,6,7,14,16,18
Coles,14,18,10,13,15,12,14,0,8,13,0,11,26,14,32
Cook,1180,1162,1057,949,1652,1120,1083,0,1147,1705,0,1116,1473,1323,2902
Crawford,4,8,11,6,7,9,4,3,5,2,4,4,6,6,14
Cumberland,3,8,1,1,8,5,1,6,6,1,3,5,3,4,10
DeKalb,30,15,17,17,20,12,20,0,26,0,0,15,39,34,54
DeWitt,4,10,5,2,6,8,5,0,4,4,0,6,18,16,26
Douglas,6,3,1,3,2,5,9,0,5,2,0,6,13,4,22
DuPage,98,98,138,122,0,131,94,0,120,134,0,135,326,300,596
Edgar,1,3,8,3,4,6,4,0,8,7,0,7,2,7,10
Edwards,0,1,1,2,4,4,0,2,2,1,1,0,0,2,10
Effingham,7,13,7,5,11,13,11,0,4,13,0,20,36,19,48
Fayette,10,9,2,6,8,0,0,0,7,14,0,6,20,13,28
Ford,3,1,7,5,5,3,3,0,4,6,0,5,10,7,18
Franklin,23,29,20,17,26,21,30,0,15,16,0,20,30,13,26
Fulton,0,12,9,12,3,10,12,0,8,12,0,12,29,14,44
Gallatin,0,2,8,1,2,1,1,0,2,0,0,2,3,6,4
Greene,6,6,6,4,7,4,6,0,2,11,0,7,11,4,10
Grundy,18,7,7,6,12,18,21,0,0,15,0,18,17,19,18
Hamilton,1,2,5,8,0,2,3,2,2,3,4,4,7,4,8
Hancock,5,3,0,3,7,3,2,3,4,7,0,3,7,5,16
Hardin,4,1,2,3,0,1,4,0,4,3,0,0,1,1,2
Henderson,4,0,0,3,4,1,2,0,1,2,0,4,1,2,14
Henry,12,13,11,11,17,12,13,0,15,15,0,14,23,22,16
ILLINOIS,2839,2740,2607,2361,2705,2798,2712,2818,2782,2927,2879,2822,4639,4028,8476
Iroquois,13,10,11,8,19,12,8,14,19,7,13,13,23,19,42
Jackson,14,9,15,13,6,11,12,0,10,21,0,9,16,16,32
Jasper,1,3,3,1,0,5,2,0,5,4,0,3,2,2,10
Jefferson,12,9,14,18,8,19,13,0,23,8,0,9,24,23,52
Jersey,0,8,6,4,12,17,14,0,10,14,0,17,20,11,20
Jo Daviess,0,2,6,5,5,6,3,4,3,5,5,5,14,9,24
Johnson,2,2,5,4,1,0,0,0,2,4,0,6,4,1,10
Kane,91,92,82,75,91,101,78,0,85,89,0,89,101,122,292
Kankakee,24,15,29,27,28,27,21,0,22,26,0,22,65,38,80
Kendall,15,8,21,16,9,15,19,0,11,18,0,14,22,17,68
Knox,14,12,12,9,21,23,17,0,28,17,0,24,52,39,74
LaSalle,34,29,16,17,23,19,33,0,37,39,0,26,94,73,166
Lake,106,123,109,81,141,138,129,0,112,145,0,129,230,222,438
Lawrence,2,8,6,6,7,3,5,0,12,8,0,2,13,3,16
Lee,10,8,6,9,7,13,8,0,2,8,0,4,11,10,24
Livingston,14,12,9,12,12,21,15,0,10,11,0,13,23,30,40
Logan,0,10,4,4,9,10,10,0,7,10,0,3,33,21,32
Macon,32,23,36,0,22,31,21,0,20,26,0,22,54,44,0
Macoupin,17,16,12,14,17,15,14,0,17,14,0,9,30,14,40
Madison,0,68,60,61,71,69,82,0,76,71,0,78,133,89,242
Marion,20,14,18,20,15,22,11,0,22,9,0,13,30,14,30
Marshall,0,2,2,4,0,6,3,0,1,3,0,1,8,11,16
Mason,4,2,9,3,7,4,6,0,3,9,0,6,10,5,10
Massac,5,9,5,2,8,5,8,0,7,3,0,5,19,20,54
McDonough,4,7,7,2,3,9,7,0,6,0,0,5,12,11,18
McHenry,59,52,41,46,38,61,69,0,65,76,0,76,91,75,176
McLean,33,26,23,18,28,18,27,0,22,22,0,24,125,79,168
Menard,2,2,1,1,3,3,1,0,1,5,0,0,0,0,6
Mercer,5,5,5,5,4,0,0,0,8,10,6,3,10,4,12
Monroe,0,6,4,3,5,5,10,0,0,9,7,4,10,4,20
Montgomery,8,8,3,5,11,7,5,0,5,6,0,4,19,14,26
Morgan,0,7,4,8,10,6,5,10,6,8,4,8,20,14,26
Moultrie,0,8,8,3,9,6,7,0,3,4,0,9,5,9,6
Ogle,13,6,17,13,8,9,18,0,5,10,0,10,29,30,44
Peoria,44,37,38,32,37,42,32,0,51,43,0,34,86,82,166
Perry,14,6,11,14,4,12,5,0,12,6,0,7,15,6,26
Piatt,7,3,1,1,4,0,2,2,5,4,7,4,5,10,10
Pike,7,6,4,4,4,6,6,4,10,8,9,1,3,2,10
Pope,0,1,1,2,2,1,1,0,0,2,0,3,2,0,2
Pulaski,1,1,5,2,0,0,1,0,2,1,0,2,5,5,0
Putnam,2,2,0,0,1,2,1,0,0,2,0,0,0,1,4
Randolph,16,12,12,11,10,7,16,0,6,11,0,13,12,14,16
Richland,2,0,6,1,6,2,1,0,4,6,0,8,1,2,6
Rock Island,0,40,22,35,25,33,37,0,30,27,0,43,55,50,98
Saline,10,9,14,15,14,9,7,4,12,7,8,15,12,5,16
Sangamon,40,42,33,28,34,42,50,0,54,55,0,46,59,60,134
Schuyler,5,1,1,4,1,1,2,0,0,2,0,4,0,1,0
Scott,1,0,1,0,0,0,1,1,3,1,2,1,1,3,6
Shelby,9,8,3,6,7,6,12,0,6,10,0,7,6,10,14
St. Clair,108,108,62,54,120,106,91,0,75,83,0,68,114,108,172
Stark,0,2,5,0,2,1,1,3,2,2,0,1,4,3,8
Stephenson,14,14,8,9,18,14,13,0,22,29,0,17,25,13,44
Suburban Cook,0,538,553,494,0,548,506,0,513,0,0,515,945,890,1890
Tazewell,33,33,39,36,33,33,34,0,29,42,0,41,77,75,0
Union,2,5,5,8,3,2,2,0,2,0,0,0,10,6,20
Vermilion,26,21,21,27,18,21,30,0,21,36,0,34,38,29,56
Wabash,0,3,3,3,6,2,4,0,1,6,0,0,7,8,16
Warren,3,8,3,1,10,6,8,0,6,2,0,3,9,9,10
Washington,5,1,8,8,1,1,3,0,4,2,0,3,4,5,16
Wayne,1,5,5,4,6,5,10,0,1,6,0,6,9,6,40
White,27,28,18,23,22,16,20,0,22,16,0,16,28,27,54
Will,16,117,136,135,110,112,126,0,134,140,15,22,17,23,388
Winnebago,49,43,66,54,46,66,56,0,67,64,67,66,148,148,276
Woodford,8,9,7,5,0,9,9,0,12,9,0,9,30,24,64
