Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2009,ILLINOIS,99896,24891,24159,5298,5243,3958,2896,2740,2688,2412,1993,1166,1111,21341,0
2009,Adams,788,197,149,80,39,32,16,21,16,25,17,10,7,179,0
2009,Alexander,111,38,21,8,4,2,1,6,7,3,2,1,0,18,0
2009,Bond,168,43,45,11,10,5,9,5,5,10,4,0,1,20,0
2009,Boone,316,80,72,16,21,11,17,15,3,4,9,7,10,51,0
2009,Brown,59,15,12,4,6,0,0,3,1,0,1,1,0,16,0
2009,Bureau,357,93,94,26,21,16,11,5,12,15,3,4,2,55,0
2009,Calhoun,60,22,12,5,4,4,2,1,2,0,1,0,1,6,0
2009,Carroll,181,46,51,15,6,10,2,5,3,1,4,0,0,38,0
2009,Cass,148,54,33,10,3,9,2,2,3,6,5,0,0,21,0
2009,Champaign,1186,236,275,59,51,63,51,37,28,31,28,24,7,296,0
2009,Christian,386,95,100,17,23,11,14,8,11,12,8,4,4,79,0
2009,Clark,214,50,53,14,20,12,9,5,5,4,2,1,1,38,0
2009,Clay,198,49,44,21,9,8,2,7,8,5,3,2,2,38,0
2009,Clinton,349,90,91,10,23,18,19,10,7,8,10,5,2,56,0
2009,Coles,455,119,88,47,25,19,12,18,10,15,10,7,5,80,0
2009,Cook,39146,10339,9466,1584,1966,1313,883,1162,1161,984,994,396,464,8434,0
2009,Chicago,19216,5251,4431,716,933,747,358,624,563,497,516,187,252,4141,0
2009,Suburban Cook,19930,5088,5035,868,1033,566,525,538,598,487,478,209,212,4293,0
2009,Crawford,252,64,58,13,21,10,7,8,5,10,3,3,2,48,0
2009,Cumberland,115,27,26,9,3,7,1,8,1,2,2,1,0,28,0
2009,DeKalb,679,157,160,32,29,41,35,15,18,6,11,12,5,158,0
2009,DeWitt,222,47,54,17,9,9,10,10,8,3,0,2,0,53,0
2009,Douglas,175,45,41,16,10,4,7,3,7,7,1,0,1,33,0
2009,DuPage,5632,1275,1482,290,306,174,218,98,162,125,85,68,64,1285,0
2009,Edgar,231,74,44,31,12,7,15,3,6,4,2,2,0,31,0
2009,Edwards,74,22,14,5,3,6,0,1,2,0,3,0,1,17,0
2009,Effingham,308,76,85,17,23,22,10,13,5,9,1,0,2,45,0
2009,Fayette,205,45,42,20,15,11,7,9,6,11,0,2,2,35,0
2009,Ford,194,42,44,9,9,4,18,1,6,5,5,3,0,48,0
2009,Franklin,520,90,115,46,26,23,40,29,19,10,15,2,4,101,0
2009,Fulton,470,115,108,21,24,16,17,12,5,12,10,3,4,123,0
2009,Gallatin,85,26,20,6,4,3,1,2,3,2,3,2,2,11,0
2009,Greene,169,38,45,4,7,11,3,6,5,5,3,3,2,37,0
2009,Grundy,374,102,109,14,17,25,16,7,8,6,3,4,6,57,0
2009,Hamilton,110,46,27,7,6,0,1,2,6,0,2,1,0,12,0
2009,Hancock,200,59,42,16,6,12,6,3,7,4,4,1,0,40,0
2009,Hardin,59,11,18,8,5,5,0,1,2,1,0,0,0,8,0
2009,Henderson,75,25,17,7,2,3,5,0,0,2,1,3,1,9,0
2009,Henry,525,135,129,31,34,18,10,13,12,9,10,9,2,113,0
2009,Iroquois,346,96,72,22,24,10,25,10,7,9,6,3,2,60,0
2009,Jackson,436,95,107,28,27,24,19,9,17,6,12,5,7,80,0
2009,Jasper,92,30,20,6,6,1,4,3,2,6,1,1,0,12,0
2009,Jefferson,449,96,104,31,17,19,23,9,10,50,13,2,5,70,0
2009,Jersey,197,61,43,10,9,10,15,8,4,1,0,0,0,36,0
2009,Jo Daviess,235,59,55,10,22,11,14,2,7,4,4,1,3,43,0
2009,Johnson,127,25,34,12,11,4,4,2,1,4,2,2,4,22,0
2009,Kane,2743,606,668,127,151,114,64,92,75,56,54,32,41,663,0
2009,Kankakee,1069,258,234,77,44,46,46,15,52,28,30,8,15,216,0
2009,Kendall,442,95,108,24,18,24,11,8,18,10,3,13,4,106,0
2009,Knox,600,182,130,48,33,23,23,12,5,15,3,8,0,118,0
2009,Lake,3941,850,1013,239,196,160,120,123,92,100,58,64,45,881,0
2009,LaSalle,1198,348,273,61,54,73,38,29,22,31,14,10,15,230,0
2009,Lawrence,231,55,36,13,16,10,17,8,6,4,2,1,2,61,0
2009,Lee,377,86,109,19,14,20,13,8,6,6,7,7,5,77,0
2009,Livingston,394,116,101,24,16,14,9,12,14,7,8,4,1,68,0
2009,Logan,316,61,61,26,20,16,14,10,6,7,5,1,2,87,0
2009,McDonough,297,87,70,14,28,7,4,7,3,10,4,4,3,56,0
2009,McHenry,1716,356,472,119,85,87,52,52,27,41,17,35,23,350,0
2009,McLean,1086,246,245,68,49,61,65,26,13,20,11,21,8,253,0
2009,Macon,1121,300,293,54,73,35,20,23,31,12,14,18,4,244,0
2009,Macoupin,574,137,123,34,31,29,21,16,15,15,10,8,7,128,0
2009,Madison,2644,681,601,176,133,139,90,68,75,63,49,39,44,486,0
2009,Marion,497,142,107,33,28,28,14,14,15,13,7,3,2,91,0
2009,Marshall,147,41,28,5,11,6,11,2,2,0,5,2,1,33,0
2009,Mason,179,46,40,11,12,9,13,2,2,3,5,3,3,30,0
2009,Massac,189,52,35,11,12,11,1,9,6,2,2,4,1,43,0
2009,Menard,132,35,30,2,7,9,9,2,1,7,3,0,2,25,0
2009,Mercer,173,54,28,12,7,10,11,5,6,6,1,2,0,31,0
2009,Monroe,261,63,57,11,21,9,7,6,3,2,6,3,1,72,0
2009,Montgomery,375,87,86,21,24,21,21,8,12,16,2,4,6,67,0
2009,Morgan,359,90,85,21,21,18,12,7,2,13,8,7,4,71,0
2009,Moultrie,159,35,30,9,9,7,4,8,8,2,2,2,1,42,0
2009,Ogle,452,128,96,27,31,22,23,6,10,10,6,5,3,85,0
2009,Peoria,1695,350,424,115,112,74,48,37,38,38,23,24,19,393,0
2009,Perry,226,63,49,16,12,4,10,6,11,4,8,2,2,39,0
2009,Piatt,161,42,35,6,12,8,3,3,3,4,1,1,2,41,0
2009,Pike,200,39,42,22,7,10,2,6,6,3,1,3,1,58,0
2009,Pope,31,9,3,2,3,1,0,1,3,0,1,4,0,4,0
2009,Pulaski,70,24,10,5,8,2,2,1,1,5,1,1,0,10,0
2009,Putnam,63,12,23,2,4,2,1,2,1,0,3,0,2,11,0
2009,Randolph,391,101,98,10,14,19,10,12,16,10,11,5,3,82,0
2009,Richland,181,52,47,9,6,12,1,0,4,4,3,6,2,35,0
2009,Rock Island,1414,386,327,84,67,51,54,40,32,22,18,12,12,309,0
2009,St. Clair,2476,538,560,196,151,112,74,108,59,47,49,25,19,538,0
2009,Saline,335,76,69,23,20,10,17,9,14,10,11,4,7,65,0
2009,Sangamon,1930,469,459,136,94,85,45,42,35,46,26,25,22,446,0
2009,Schuyler,85,25,20,5,6,4,1,1,3,4,2,2,1,11,0
2009,Scott,50,12,9,3,5,3,0,0,1,2,2,0,0,13,0
2009,Shelby,248,65,67,9,24,13,5,8,2,7,2,2,2,42,0
2009,Stark,84,25,15,4,2,4,7,2,0,3,2,0,0,20,0
2009,Stephenson,531,111,127,34,41,18,11,14,9,17,12,4,6,127,0
2009,Tazewell,1328,323,345,86,73,42,40,33,26,34,33,11,12,270,0
2009,Union,219,42,49,15,11,8,15,5,8,9,5,1,1,50,0
2009,Vermilion,912,213,231,80,54,45,12,21,22,18,21,10,14,171,0
2009,Wabash,128,28,25,7,4,9,3,3,8,2,3,3,5,28,0
2009,Warren,189,46,41,13,21,6,5,8,1,5,3,5,0,35,0
2009,Washington,135,33,31,9,11,7,1,1,6,2,2,2,1,29,0
2009,Wayne,206,57,46,13,13,3,2,5,7,4,3,4,0,49,0
2009,White,218,57,58,15,10,7,11,10,3,4,2,2,0,39,0
2009,White,616,169,158,41,34,23,23,18,12,8,3,6,4,117,0
2009,Will,3724,874,1004,164,168,161,81,101,101,81,58,44,65,822,0
2009,Will,750,173,186,43,38,23,17,16,33,31,15,12,7,156,0
2009,Winnebago,2555,609,629,153,137,139,52,43,65,40,28,32,31,597,0
2009,Woodford,370,78,90,24,19,16,29,9,8,12,2,7,3,73,0
